Strain	Condition	Trait	Value
CB4856	arsenic1	mean.norm.EXT	-0.291540662173995
CB4856	arsenic1	mean.norm.EXT	-0.174896222034786
CB4856	arsenic1	mean.norm.EXT	0.258789638184555
CB4856	arsenic1	mean.norm.EXT	0.00867272370430872
CB4856	arsenic1	mean.norm.EXT	-0.0558737406693566
CB4856	arsenic1	mean.norm.EXT	-0.170526606282728
CB4856	arsenic1	mean.norm.EXT	-0.128073534159951
CB4856	arsenic1	mean.norm.EXT	-0.0548561098151175
CB4856	arsenic1	mean.norm.EXT	-0.162912690188715
CB4856	arsenic1	mean.norm.EXT	-0.24367494608361
CB4856	arsenic1	mean.norm.EXT	-0.387103086548395
CB4856	arsenic1	mean.norm.EXT	-0.308577609024264
CB4856	arsenic1	mean.norm.EXT	-0.258422443518164
CB4856	arsenic1	mean.norm.EXT	-0.0359499688570271
CB4856	arsenic1	mean.norm.EXT	-0.154264865391974
CB4856	arsenic1	mean.norm.EXT	-0.154389072013475
CB4856	arsenic1	mean.norm.EXT	0.112956813999139
CB4856	arsenic1	mean.norm.EXT	-0.95702788872681
CB4856	arsenic1	mean.norm.EXT	-0.0201284470310714
CB4856	arsenic1	mean.norm.EXT	0.150483372362226
DL238	arsenic1	mean.norm.EXT	-0.147350118905758
DL238	arsenic1	mean.norm.EXT	0.217945582709103
DL238	arsenic1	mean.norm.EXT	-0.306503645080262
DL238	arsenic1	mean.norm.EXT	-0.00935540883055674
DL238	arsenic1	mean.norm.EXT	0.0191048521850274
DL238	arsenic1	mean.norm.EXT	0.451323302724441
DL238	arsenic1	mean.norm.EXT	-0.313838444032356
DL238	arsenic1	mean.norm.EXT	-0.27778501612232
DL238	arsenic1	mean.norm.EXT	-0.138269482578464
DL238	arsenic1	mean.norm.EXT	-0.0495217394443102
DL238	arsenic1	mean.norm.EXT	-0.29817882088253
DL238	arsenic1	mean.norm.EXT	0.0367706444461908
DL238	arsenic1	mean.norm.EXT	-0.0895699002306114
DL238	arsenic1	mean.norm.EXT	0.239978870051733
DL238	arsenic1	mean.norm.EXT	0.0299558078588955
DL238	arsenic1	mean.norm.EXT	-0.0227936615670536
DL238	arsenic1	mean.norm.EXT	0.122854818974431
DL238	arsenic1	mean.norm.EXT	0.117100753451928
DL238	arsenic1	mean.norm.EXT	-0.335984648536368
JU775	arsenic1	mean.norm.EXT	-0.443994001931308
JU775	arsenic1	mean.norm.EXT	-0.251931549431657
JU775	arsenic1	mean.norm.EXT	-0.228001518889723
JU775	arsenic1	mean.norm.EXT	-0.187843692460697
JU775	arsenic1	mean.norm.EXT	-0.115097280619863
JU775	arsenic1	mean.norm.EXT	-0.719674446393094
JU775	arsenic1	mean.norm.EXT	-0.113190066374318
JU775	arsenic1	mean.norm.EXT	-0.32112956354
JU775	arsenic1	mean.norm.EXT	-0.342836425287073
JU775	arsenic1	mean.norm.EXT	-0.456123430580563
JU775	arsenic1	mean.norm.EXT	-0.306111631309181
JU775	arsenic1	mean.norm.EXT	-0.141663875546054
JU775	arsenic1	mean.norm.EXT	-0.258223042644564
