Strain	Condition	u_id	Trait	Value
N2	arsenic	N2_arsenic_2_A_1	mean.TOF	-36.0592688563174
CB4856	arsenic	CB4856_arsenic_2_A_2	mean.TOF	-12.2585280357642
ECA414	arsenic	ECA414_arsenic_2_A_3	mean.TOF	15.987219144183
ECA434	arsenic	ECA434_arsenic_2_A_4	mean.TOF	7.15132607751605
ECA581	arsenic	ECA581_arsenic_2_A_5	mean.TOF	-0.611807761644664
ECA582	arsenic	ECA582_arsenic_2_A_6	mean.TOF	20.2324771105257
ECA589	arsenic	ECA589_arsenic_2_A_7	mean.TOF	-22.8130171531647
ECA590	arsenic	ECA590_arsenic_2_A_8	mean.TOF	-15.0080789038875
ECA591	arsenic	ECA591_arsenic_2_A_9	mean.TOF	-12.7604133509104
N2	arsenic	N2_arsenic_2_B_1	mean.TOF	-38.1333563483908
CB4856	arsenic	CB4856_arsenic_2_B_2	mean.TOF	37.5592685744053
ECA414	arsenic	ECA414_arsenic_2_B_3	mean.TOF	-0.898741287594163
ECA434	arsenic	ECA434_arsenic_2_B_4	mean.TOF	6.44294223582291
ECA581	arsenic	ECA581_arsenic_2_B_5	mean.TOF	15.5624408926615
ECA582	arsenic	ECA582_arsenic_2_B_6	mean.TOF	9.13397138007454
ECA589	arsenic	ECA589_arsenic_2_B_7	mean.TOF	-8.84703986803853
ECA590	arsenic	ECA590_arsenic_2_B_8	mean.TOF	-19.0755031463118
ECA591	arsenic	ECA591_arsenic_2_B_9	mean.TOF	-7.70927698727401
N2	arsenic	N2_arsenic_2_C_1	mean.TOF	-39.7994727747484
CB4856	arsenic	CB4856_arsenic_2_C_2	mean.TOF	20.4226019077386
ECA414	arsenic	ECA414_arsenic_2_C_3	mean.TOF	10.5229798279437
ECA434	arsenic	ECA434_arsenic_2_C_4	mean.TOF	23.2837198580528
ECA581	arsenic	ECA581_arsenic_2_C_5	mean.TOF	23.4534007140901
ECA582	arsenic	ECA582_arsenic_2_C_6	mean.TOF	3.48316017063502
ECA589	arsenic	ECA589_arsenic_2_C_7	mean.TOF	-39.5909650076471
ECA590	arsenic	ECA590_arsenic_2_C_8	mean.TOF	-24.8929747372209
ECA591	arsenic	ECA591_arsenic_2_C_9	mean.TOF	-15.871776987274
N2	arsenic	N2_arsenic_2_D_1	mean.TOF	-28.4128614618268
CB4856	arsenic	CB4856_arsenic_2_D_2	mean.TOF	19.0991845407918
ECA414	arsenic	ECA414_arsenic_2_D_3	mean.TOF	8.53628595039265
ECA434	arsenic	ECA434_arsenic_2_D_4	mean.TOF	22.608683169081
ECA581	arsenic	ECA581_arsenic_2_D_5	mean.TOF	17.1783024178909
ECA582	arsenic	ECA582_arsenic_2_D_6	mean.TOF	3.65633725396836
ECA589	arsenic	ECA589_arsenic_2_D_7	mean.TOF	-36.2928853611281
ECA590	arsenic	ECA590_arsenic_2_D_8	mean.TOF	-31.609808463636
ECA591	arsenic	ECA591_arsenic_2_D_9	mean.TOF	-15.7937235521595
N2	arsenic	N2_arsenic_2_E_1	mean.TOF	-46.667275993597
CB4856	arsenic	CB4856_arsenic_2_E_2	mean.TOF	21.4027645093646
ECA414	arsenic	ECA414_arsenic_2_E_3	mean.TOF	-0.254552086949929
ECA434	arsenic	ECA434_arsenic_2_E_4	mean.TOF	24.516091276066
ECA581	arsenic	ECA581_arsenic_2_E_5	mean.TOF	6.61475902790746
ECA582	arsenic	ECA582_arsenic_2_E_6	mean.TOF	2.62537780148901
ECA589	arsenic	ECA589_arsenic_2_E_7	mean.TOF	-24.0333124995166
ECA590	arsenic	ECA590_arsenic_2_E_8	mean.TOF	-13.5364909773783
ECA591	arsenic	ECA591_arsenic_2_E_9	mean.TOF	-26.7359074220566
N2	arsenic	N2_arsenic_2_F_1	mean.TOF	-46.6855196546977
CB4856	arsenic	CB4856_arsenic_2_F_2	mean.TOF	13.8915731011542
ECA414	arsenic	ECA414_arsenic_2_F_3	mean.TOF	13.9971830364998
ECA434	arsenic	ECA434_arsenic_2_F_4	mean.TOF	8.3972625216764
ECA581	arsenic	ECA581_arsenic_2_F_5	mean.TOF	15.7600209231494
ECA582	arsenic	ECA582_arsenic_2_F_6	mean.TOF	8.71553196550681
ECA589	arsenic	ECA589_arsenic_2_F_7	mean.TOF	-25.3632883254635
ECA590	arsenic	ECA590_arsenic_2_F_8	mean.TOF	-6.87372931039161
ECA591	arsenic	ECA591_arsenic_2_F_9	mean.TOF	-2.16820555870258
N2	arsenic	N2_arsenic_2_G_1	mean.TOF	-34.4299810756298
CB4856	arsenic	CB4856_arsenic_2_G_2	mean.TOF	13.1005729222314
ECA414	arsenic	ECA414_arsenic_2_G_3	mean.TOF	1.17097982794368
ECA434	arsenic	ECA434_arsenic_2_G_4	mean.TOF	19.4919516515713
ECA581	arsenic	ECA581_arsenic_2_G_5	mean.TOF	11.1232092560636
