term	power	df	sumsq	meansq	statistic	p.value	etasq	partial.etasq	omegasq	partial.omegasq	cohens.f	condition	trait	strain1	strain2
Strain	0.322	1	0.122	0.122	2.239	0.143	0.057	0.057	0.031	0.031	0.246	arsenic1	mean.norm.EXT	CB4856	DL238
Strain	0.555	1	0.183	0.183	4.403	0.043	0.106	0.106	0.08	0.08	0.345	arsenic1	mean.norm.EXT	CB4856	JU775
Strain	0.167	1	0.047	0.047	0.971	0.331	0.025	0.025	-0.001	-0.001	0.16	arsenic1	mean.norm.EXT	CB4856	N2
Strain	0.988	1	0.588	0.588	17.682	0	0.329	0.329	0.305	0.305	0.701	arsenic1	mean.norm.EXT	DL238	JU775
Strain	0.798	1	0.317	0.317	7.813	0.008	0.174	0.174	0.149	0.149	0.46	arsenic1	mean.norm.EXT	DL238	N2
Strain	0.25	1	0.046	0.046	1.643	0.208	0.043	0.043	0.016	0.016	0.211	arsenic1	mean.norm.EXT	JU775	N2
Strain	0.929	3	0.644	0.215	5.23	0.002	0.175	0.175	0.14	0.14	0.46	arsenic1	mean.norm.EXT	ALL	ALL
Strain	0.125	1	0	0	0.631	0.432	0.017	0.017	-0.01	-0.01	0.131	arsenic1	mean.norm.yellow	CB4856	DL238
Strain	0.822	1	0.002	0.002	8.312	0.007	0.183	0.183	0.158	0.158	0.474	arsenic1	mean.norm.yellow	CB4856	JU775
Strain	0.058	1	0	0	0.067	0.797	0.002	0.002	-0.024	-0.024	0.042	arsenic1	mean.norm.yellow	CB4856	N2
Strain	0.233	1	0.001	0.001	1.508	0.227	0.04	0.04	0.013	0.013	0.205	arsenic1	mean.norm.yellow	DL238	JU775
Strain	0.1	1	0	0	0.424	0.519	0.011	0.011	-0.015	-0.015	0.107	arsenic1	mean.norm.yellow	DL238	N2
Strain	0.841	1	0.002	0.002	8.752	0.005	0.191	0.191	0.166	0.166	0.486	arsenic1	mean.norm.yellow	JU775	N2
Strain	0.587	3	0.003	0.001	2.319	0.082	0.086	0.086	0.048	0.048	0.307	arsenic1	mean.norm.yellow	ALL	ALL
Strain	0.967	1	3868.507	3868.507	14.481	0.001	0.281	0.281	0.257	0.257	0.626	arsenic1	mean.TOF	CB4856	DL238
Strain	0.977	1	11535.511	11535.511	15.723	0	0.298	0.298	0.274	0.274	0.652	arsenic1	mean.TOF	CB4856	JU775
Strain	1	1	12087.743	12087.743	41.624	0	0.523	0.523	0.504	0.504	1.047	arsenic1	mean.TOF	CB4856	N2
Strain	0.387	1	1992.508	1992.508	2.799	0.103	0.072	0.072	0.045	0.045	0.279	arsenic1	mean.TOF	DL238	JU775
Strain	0.823	1	2146.307	2146.307	8.344	0.006	0.184	0.184	0.158	0.158	0.475	arsenic1	mean.TOF	DL238	N2
Strain	0.05	1	1.259	1.259	0.002	0.967	0	0	-0.026	-0.026	0.007	arsenic1	mean.TOF	JU775	N2
Strain	0.999	3	15945.344	5315.115	10.728	0	0.303	0.303	0.272	0.272	0.659	arsenic1	mean.TOF	ALL	ALL
Strain	0.94	1	22175.2	22175.2	12.376	0.001	0.251	0.251	0.226	0.226	0.578	arsenic1	norm.n	CB4856	DL238
Strain	0.954	1	21199.435	21199.435	13.313	0.001	0.265	0.265	0.24	0.24	0.6	arsenic1	norm.n	CB4856	JU775
Strain	0.744	1	7804.181	7804.181	6.838	0.013	0.153	0.153	0.127	0.127	0.424	arsenic1	norm.n	CB4856	N2
Strain	0.051	1	10.702	10.702	0.008	0.931	0	0	-0.027	-0.027	0.014	arsenic1	norm.n	DL238	JU775
Strain	0.513	1	3808.378	3808.378	3.973	0.054	0.097	0.097	0.071	0.071	0.328	arsenic1	norm.n	DL238	N2
Strain	0.563	1	3410.433	3410.433	4.492	0.041	0.108	0.108	0.082	0.082	0.348	arsenic1	norm.n	JU775	N2
Strain	0.988	3	29304.082	9768.027	7.658	0	0.237	0.237	0.204	0.204	0.557	arsenic1	norm.n	ALL	ALL
Strain	0.584	1	0.192	0.192	4.721	0.036	0.116	0.116	0.089	0.089	0.362	arsenic2	mean.norm.EXT	CB4856	DL238
Strain	0.514	1	0.268	0.268	3.984	0.053	0.095	0.095	0.069	0.069	0.324	arsenic2	mean.norm.EXT	CB4856	JU775
Strain	0.519	1	0.158	0.158	4.035	0.052	0.096	0.096	0.071	0.071	0.326	arsenic2	mean.norm.EXT	CB4856	N2
Strain	0.962	1	0.887	0.887	13.924	0.001	0.279	0.279	0.254	0.254	0.622	arsenic2	mean.norm.EXT	DL238	JU775
Strain	0.994	1	0.68	0.68	19.967	0	0.357	0.357	0.333	0.333	0.745	arsenic2	mean.norm.EXT	DL238	N2
Strain	0.078	1	0.014	0.014	0.237	0.629	0.006	0.006	-0.019	-0.019	0.079	arsenic2	mean.norm.EXT	JU775	N2
Strain	0.982	3	1.083	0.361	7.067	0	0.223	0.223	0.189	0.189	0.535	arsenic2	mean.norm.EXT	ALL	ALL
Strain	0.187	1	0	0	1.137	0.293	0.031	0.031	0.004	0.004	0.178	arsenic2	mean.norm.yellow	CB4856	DL238
Strain	0.235	1	0.001	0.001	1.527	0.224	0.039	0.039	0.013	0.013	0.2	arsenic2	mean.norm.yellow	CB4856	JU775
Strain	0.141	1	0	0	0.76	0.389	0.02	0.02	-0.006	-0.006	0.141	arsenic2	mean.norm.yellow	CB4856	N2
Strain	0.066	1	0	0	0.142	0.708	0.004	0.004	-0.023	-0.023	0.063	arsenic2	mean.norm.yellow	DL238	JU775
Strain	0.622	1	0.001	0.001	5.153	0.029	0.125	0.125	0.099	0.099	0.378	arsenic2	mean.norm.yellow	DL238	N2
Strain	0.549	1	0.002	0.002	4.338	0.044	0.102	0.102	0.077	0.077	0.338	arsenic2	mean.norm.yellow	JU775	N2
Strain	0.509	3	0.002	0.001	1.959	0.128	0.074	0.074	0.036	0.036	0.282	arsenic2	mean.norm.yellow	ALL	ALL
Strain	0.987	1	4471.769	4471.769	17.435	0	0.326	0.326	0.302	0.302	0.696	arsenic2	mean.TOF	CB4856	DL238
Strain	0.885	1	6925.302	6925.302	9.978	0.003	0.208	0.208	0.183	0.183	0.512	arsenic2	mean.TOF	CB4856	JU775
