Trait	PC	loading	Condition
mean.norm.EXT	PC1	0.571462916657613	arsenic1
mean.norm.yellow	PC1	0.510947201842918	arsenic1
mean.TOF	PC1	0.570243622844673	arsenic1
norm.n	PC1	0.295271574011196	arsenic1
mean.norm.EXT	PC2	-0.257670069952707	arsenic1
mean.norm.yellow	PC2	-0.464923614084126	arsenic1
mean.TOF	PC2	0.256864221503899	arsenic1
norm.n	PC2	0.807138736419408	arsenic1
mean.norm.EXT	PC3	0.343562982280519	arsenic1
mean.norm.yellow	PC3	-0.675897048808032	arsenic1
mean.TOF	PC3	0.486243553941096	arsenic1
norm.n	PC3	-0.434390219583545	arsenic1
mean.norm.EXT	PC1	-0.563858023389456	arsenic2
mean.norm.yellow	PC1	-0.568013804755567	arsenic2
mean.TOF	PC1	-0.541673328667453	arsenic2
norm.n	PC1	-0.256932777349955	arsenic2
mean.norm.EXT	PC2	0.263031812738061	arsenic2
mean.norm.yellow	PC2	0.22594950268882	arsenic2
mean.TOF	PC2	-0.0669750629095271	arsenic2
norm.n	PC2	-0.935561557926933	arsenic2
mean.norm.EXT	PC3	-0.336347426249861	arsenic2
mean.norm.yellow	PC3	-0.356302095933837	arsenic2
mean.TOF	PC3	0.837873775426408	arsenic2
norm.n	PC3	-0.240596678574221	arsenic2
mean.norm.EXT	PC1	-0.606607442259975	arsenic3
mean.norm.yellow	PC1	-0.53370898066392	arsenic3
mean.TOF	PC1	-0.393821721430533	arsenic3
norm.n	PC1	0.438276837949466	arsenic3
mean.norm.EXT	PC2	0.267171845764904	arsenic3
mean.norm.yellow	PC2	-0.38996658613049	arsenic3
mean.TOF	PC2	0.705134372656433	arsenic3
norm.n	PC2	0.528517533323847	arsenic3
mean.norm.EXT	PC3	-0.221931696991608	arsenic3
mean.norm.yellow	PC3	-0.57276790495701	arsenic3
mean.TOF	PC3	0.310930114234987	arsenic3
norm.n	PC3	-0.725262513151894	arsenic3
mean.norm.EXT	PC1	-0.59437015774253	arsenic4
mean.norm.yellow	PC1	-0.577379439924268	arsenic4
mean.TOF	PC1	-0.456506490778497	arsenic4
norm.n	PC1	0.323973643704178	arsenic4
mean.norm.EXT	PC2	0.337383480257592	arsenic4
mean.norm.yellow	PC2	0.260167584050081	arsenic4
mean.TOF	PC2	-0.13328342347255	arsenic4
norm.n	PC2	0.89483000870906	arsenic4
mean.norm.EXT	PC3	0.116805779507879	arsenic4
mean.norm.yellow	PC3	0.399525096085834	arsenic4
mean.TOF	PC3	-0.862224226654261	arsenic4
norm.n	PC3	-0.288626905262876	arsenic4
mean.norm.EXT	PC1	0.619799322328655	Water
mean.norm.yellow	PC1	0.613685930413399	Water
mean.TOF	PC1	0.384558668839711	Water
norm.n	PC1	-0.302246603080681	Water
mean.norm.EXT	PC2	-0.0609640325954785	Water
mean.norm.yellow	PC2	0.052643300388209	Water
mean.TOF	PC2	0.624699955982103	Water
norm.n	PC2	0.776699449368862	Water
mean.norm.EXT	PC3	-0.317455480286668	Water
mean.norm.yellow	PC3	-0.37390174051904	Water
mean.TOF	PC3	0.679266151657977	Water
norm.n	PC3	-0.545909334674316	Water
