trait_b	Condition	trait_a	trait_cor
mean.norm.EXT	arsenic1	mean.norm.EXT	1
mean.norm.yellow	arsenic1	mean.norm.EXT	0.600302392293611
mean.TOF	arsenic1	mean.norm.EXT	0.535164627642336
norm.n	arsenic1	mean.norm.EXT	0.145756239416138
PC1	arsenic1	mean.norm.EXT	0.837162331473748
PC2	arsenic1	mean.norm.EXT	-0.269395582558366
PC3	arsenic1	mean.norm.EXT	0.215143533759845
mean.norm.EXT	arsenic1	mean.norm.yellow	0.600302392293611
mean.norm.yellow	arsenic1	mean.norm.yellow	1
mean.TOF	arsenic1	mean.norm.yellow	0.423650889767132
norm.n	arsenic1	mean.norm.yellow	0.00320006320146185
PC1	arsenic1	mean.norm.yellow	0.748510075258453
PC2	arsenic1	mean.norm.yellow	-0.486080389097276
PC3	arsenic1	mean.norm.yellow	-0.42325537685454
mean.norm.EXT	arsenic1	mean.TOF	0.535164627642336
mean.norm.yellow	arsenic1	mean.TOF	0.423650889767132
mean.TOF	arsenic1	mean.TOF	1
norm.n	arsenic1	mean.TOF	0.444497071634107
PC1	arsenic1	mean.TOF	0.835376131842173
PC2	arsenic1	mean.TOF	0.268553063237592
PC3	arsenic1	mean.TOF	0.304491932653611
mean.norm.EXT	arsenic1	norm.n	0.145756239416138
mean.norm.yellow	arsenic1	norm.n	0.00320006320146185
mean.TOF	arsenic1	norm.n	0.444497071634107
norm.n	arsenic1	norm.n	1
PC1	arsenic1	norm.n	0.432556920338608
PC2	arsenic1	norm.n	0.843868324105471
PC3	arsenic1	norm.n	-0.272020711461901
mean.norm.EXT	arsenic1	PC1	0.837162331473748
mean.norm.yellow	arsenic1	PC1	0.748510075258453
mean.TOF	arsenic1	PC1	0.835376131842173
norm.n	arsenic1	PC1	0.432556920338608
PC1	arsenic1	PC1	1
PC2	arsenic1	PC1	9.14791804107581e-17
PC3	arsenic1	PC1	9.25167595760161e-17
mean.norm.EXT	arsenic1	PC2	-0.269395582558366
mean.norm.yellow	arsenic1	PC2	-0.486080389097276
mean.TOF	arsenic1	PC2	0.268553063237592
norm.n	arsenic1	PC2	0.843868324105471
PC1	arsenic1	PC2	9.14791804107581e-17
PC2	arsenic1	PC2	1
PC3	arsenic1	PC2	-4.86545071063125e-16
mean.norm.EXT	arsenic1	PC3	0.215143533759845
mean.norm.yellow	arsenic1	PC3	-0.42325537685454
mean.TOF	arsenic1	PC3	0.304491932653611
norm.n	arsenic1	PC3	-0.272020711461901
PC1	arsenic1	PC3	9.25167595760161e-17
PC2	arsenic1	PC3	-4.86545071063125e-16
PC3	arsenic1	PC3	1
mean.norm.EXT	arsenic2	mean.norm.EXT	1
mean.norm.yellow	arsenic2	mean.norm.EXT	0.742946436299201
mean.TOF	arsenic2	mean.norm.EXT	0.593464796963295
norm.n	arsenic2	mean.norm.EXT	0.155422008191088
PC1	arsenic2	mean.norm.EXT	-0.871586340628143
