Condition	Strain	Trait	Value
arsenictrioxide	QX318	mean.norm.EXT	-0.0500570370037698
arsenictrioxide	QX587	mean.norm.EXT	-0.161799349558361
arsenictrioxide	QX488	mean.norm.EXT	-0.394739347353963
arsenictrioxide	QX267	mean.norm.EXT	-0.0802191202815248
arsenictrioxide	QX318	mean.norm.yellow	-0.135403093873399
arsenictrioxide	QX587	mean.norm.yellow	-0.197498301567475
arsenictrioxide	QX488	mean.norm.yellow	-0.144984996639042
arsenictrioxide	QX267	mean.norm.yellow	-0.0866601263555438
arsenictrioxide	QX318	mean.TOF	-25.0061469737884
arsenictrioxide	QX587	mean.TOF	-16.7878747220448
arsenictrioxide	QX488	mean.TOF	-60.5694088137932
arsenictrioxide	QX267	mean.TOF	-24.4157343738289
arsenictrioxide	QX318	norm.n	34.5182449027328
arsenictrioxide	QX587	norm.n	-48.8466459609202
arsenictrioxide	QX488	norm.n	-4.5492729951004
arsenictrioxide	QX267	norm.n	-15.6391801483035
arsenictrioxide	QX311	mean.norm.EXT	-0.156025529244342
arsenictrioxide	QX358	mean.norm.EXT	0.251586740138922
arsenictrioxide	QX250	mean.norm.EXT	-0.381696222776136
arsenictrioxide	QX486	mean.norm.EXT	0.080826210004443
arsenictrioxide	QX299	mean.norm.EXT	0.212271957789222
arsenictrioxide	QX311	mean.norm.yellow	-0.145151654698544
arsenictrioxide	QX358	mean.norm.yellow	0.116751547735696
arsenictrioxide	QX250	mean.norm.yellow	-0.123360019497396
arsenictrioxide	QX486	mean.norm.yellow	0.0694008880991009
arsenictrioxide	QX299	mean.norm.yellow	0.000718336380713343
arsenictrioxide	QX311	mean.TOF	-25.0955245386204
arsenictrioxide	QX358	mean.TOF	5.15228672252034
arsenictrioxide	QX250	mean.TOF	-33.3407863419781
arsenictrioxide	QX486	mean.TOF	-7.71188557540419
arsenictrioxide	QX299	mean.TOF	-1.33947942644229
arsenictrioxide	QX311	norm.n	-18.7084303040101
arsenictrioxide	QX358	norm.n	-5.29609543207895
arsenictrioxide	QX250	norm.n	-12.7189585125797
arsenictrioxide	QX486	norm.n	-7.3306053697036
arsenictrioxide	QX299	norm.n	-26.0725418640302
arsenictrioxide	QX269	mean.norm.EXT	-0.0135988750786967
arsenictrioxide	QX565	mean.norm.EXT	0.0463735544724997
arsenictrioxide	QX276	mean.norm.EXT	0.181801328072758
arsenictrioxide	QX511	mean.norm.EXT	-0.298313752316425
arsenictrioxide	QX313	mean.norm.EXT	-0.131217643279559
arsenictrioxide	QX269	mean.norm.yellow	0.118413257241365
arsenictrioxide	QX565	mean.norm.yellow	-0.0178657863186298
arsenictrioxide	QX276	mean.norm.yellow	0.161407415767926
arsenictrioxide	QX511	mean.norm.yellow	-0.124294953188381
arsenictrioxide	QX313	mean.norm.yellow	-0.106641209679938
arsenictrioxide	QX269	mean.TOF	-10.1338537067122
arsenictrioxide	QX565	mean.TOF	-24.2274425418224
arsenictrioxide	QX276	mean.TOF	-16.1977808125241
arsenictrioxide	QX511	mean.TOF	-21.6602850567457
arsenictrioxide	QX313	mean.TOF	-10.0883914068544
arsenictrioxide	QX269	norm.n	39.6498185276795
arsenictrioxide	QX565	norm.n	7.36815873115422
arsenictrioxide	QX276	norm.n	8.14070348107003
arsenictrioxide	QX511	norm.n	-13.1407657053558
arsenictrioxide	QX313	norm.n	-18.9797964714935
arsenictrioxide	QX290	mean.norm.EXT	0.0462759253251899
arsenictrioxide	QX493	mean.norm.EXT	-0.0634196366641646
arsenictrioxide	QX304	mean.norm.EXT	0.139242834035085
arsenictrioxide	QX448	mean.norm.EXT	-0.0344146086484169
arsenictrioxide	QX290	mean.norm.yellow	-0.0805787896009171
arsenictrioxide	QX493	mean.norm.yellow	-0.0400766106549851
