trait	strain	value	trait_input
mean.norm.EXT	AB1	-0.0383900327302278	EXT_BROOD_TOF
mean.norm.EXT	CB4852	-0.320500186887939	EXT_BROOD_TOF
mean.norm.EXT	CB4854	-0.0376669964759041	EXT_BROOD_TOF
mean.norm.EXT	CB4856	0.293733835266073	EXT_BROOD_TOF
mean.norm.EXT	CB4857	-0.343542794612058	EXT_BROOD_TOF
mean.norm.EXT	CB4858	0.170692482552385	EXT_BROOD_TOF
mean.norm.EXT	CB4932	-0.290215230255304	EXT_BROOD_TOF
mean.norm.EXT	CX11262	-0.281453688480426	EXT_BROOD_TOF
mean.norm.EXT	CX11264	-0.01607116022286	EXT_BROOD_TOF
mean.norm.EXT	CX11271	0.121415621338639	EXT_BROOD_TOF
mean.norm.EXT	CX11276	0.175648534472974	EXT_BROOD_TOF
mean.norm.EXT	CX11285	-0.264347279663448	EXT_BROOD_TOF
mean.norm.EXT	CX11292	-0.0913841400296996	EXT_BROOD_TOF
mean.norm.EXT	CX11307	-0.101464885107876	EXT_BROOD_TOF
mean.norm.EXT	CX11314	-0.393571378607049	EXT_BROOD_TOF
mean.norm.EXT	CX11315	-0.478115144134995	EXT_BROOD_TOF
mean.norm.EXT	DL200	0.113760309262857	EXT_BROOD_TOF
mean.norm.EXT	DL226	0.282483945344349	EXT_BROOD_TOF
mean.norm.EXT	DL238	-0.611302786465494	EXT_BROOD_TOF
mean.norm.EXT	ED3005	0.435843068602687	EXT_BROOD_TOF
mean.norm.EXT	ED3011	0.440216424558905	EXT_BROOD_TOF
mean.norm.EXT	ED3012	0.0618433133319336	EXT_BROOD_TOF
mean.norm.EXT	ED3040	0.253161646428398	EXT_BROOD_TOF
mean.norm.EXT	ED3046	0.121440083241959	EXT_BROOD_TOF
mean.norm.EXT	ED3048	0.254447502501632	EXT_BROOD_TOF
mean.norm.EXT	ED3049	0.182026086590514	EXT_BROOD_TOF
mean.norm.EXT	ED3052	-0.162873488532976	EXT_BROOD_TOF
mean.norm.EXT	ED3073	0.185788355978188	EXT_BROOD_TOF
mean.norm.EXT	ED3077	-0.0547833778215608	EXT_BROOD_TOF
mean.norm.EXT	EG4347	-0.270844710674324	EXT_BROOD_TOF
mean.norm.EXT	EG4349	0.0397330825788789	EXT_BROOD_TOF
mean.norm.EXT	EG4724	0.358273202180564	EXT_BROOD_TOF
mean.norm.EXT	EG4725	0.00210267336337834	EXT_BROOD_TOF
mean.norm.EXT	EG4946	0.173434224168838	EXT_BROOD_TOF
mean.norm.EXT	JT11398	0.171991872283521	EXT_BROOD_TOF
mean.norm.EXT	JU1172	0.066510964648095	EXT_BROOD_TOF
mean.norm.EXT	JU1200	0.0327242549587409	EXT_BROOD_TOF
mean.norm.EXT	JU1212	-0.120296470561791	EXT_BROOD_TOF
mean.norm.EXT	JU1213	-0.272909581255679	EXT_BROOD_TOF
mean.norm.EXT	JU1242	0.181931242480242	EXT_BROOD_TOF
mean.norm.EXT	JU1246	-0.459107062631371	EXT_BROOD_TOF
mean.norm.EXT	JU1395	0.073337857375289	EXT_BROOD_TOF
mean.norm.EXT	JU1409	0.240381944432047	EXT_BROOD_TOF
mean.norm.EXT	JU1440	0.163597287628223	EXT_BROOD_TOF
mean.norm.EXT	JU1491	-0.187597653145215	EXT_BROOD_TOF
mean.norm.EXT	JU1530	-0.0010758813206994	EXT_BROOD_TOF
mean.norm.EXT	JU1568	0.299115702168936	EXT_BROOD_TOF
mean.norm.EXT	JU1580	-0.59326131183516	EXT_BROOD_TOF
mean.norm.EXT	JU1581	0.19545672017032	EXT_BROOD_TOF
mean.norm.EXT	JU1586	-0.0756218255332305	EXT_BROOD_TOF
mean.norm.EXT	JU1652	0.24646461557677	EXT_BROOD_TOF
mean.norm.EXT	JU1896	-0.029081021719798	EXT_BROOD_TOF
mean.norm.EXT	JU258	-0.233261291204445	EXT_BROOD_TOF
mean.norm.EXT	JU310	-0.0483879043841806	EXT_BROOD_TOF
mean.norm.EXT	JU311	-0.0185021964200876	EXT_BROOD_TOF
mean.norm.EXT	JU323	-0.0356936119267743	EXT_BROOD_TOF
mean.norm.EXT	JU346	-0.399655857354939	EXT_BROOD_TOF
mean.norm.EXT	JU360	0.149062208303374	EXT_BROOD_TOF
mean.norm.EXT	JU367	-0.338925593281111	EXT_BROOD_TOF
mean.norm.EXT	JU393	0.0678473535875093	EXT_BROOD_TOF
mean.norm.EXT	JU394	0.114667921435698	EXT_BROOD_TOF
mean.norm.EXT	JU406	0.135315395225895	EXT_BROOD_TOF
mean.norm.EXT	JU440	0.0805135733858009	EXT_BROOD_TOF
mean.norm.EXT	JU561	0.0724127533370632	EXT_BROOD_TOF
mean.norm.EXT	JU642	-2.06337277783039e-4	EXT_BROOD_TOF
mean.norm.EXT	JU751	0.062196573551637	EXT_BROOD_TOF
mean.norm.EXT	JU774	0.0287492858719705	EXT_BROOD_TOF
mean.norm.EXT	JU778	-0.0427577169307216	EXT_BROOD_TOF
mean.norm.EXT	JU782	0.289493748780501	EXT_BROOD_TOF
mean.norm.EXT	JU792	-0.264330097667468	EXT_BROOD_TOF
mean.norm.EXT	JU830	0.0437359905163493	EXT_BROOD_TOF
mean.norm.EXT	JU847	-0.0976645295907636	EXT_BROOD_TOF
mean.norm.EXT	KR314	0.451579825863631	EXT_BROOD_TOF
mean.norm.EXT	LKC34	-0.472541476471717	EXT_BROOD_TOF
mean.norm.EXT	LSJ1	-0.225948171943237	EXT_BROOD_TOF
mean.norm.EXT	MY1	-0.389823391396303	EXT_BROOD_TOF
mean.norm.EXT	MY10	0.183430057058719	EXT_BROOD_TOF
mean.norm.EXT	MY16	0.277223845237438	EXT_BROOD_TOF
mean.norm.EXT	MY18	0.0594592282623493	EXT_BROOD_TOF
mean.norm.EXT	MY23	-0.094166896468098	EXT_BROOD_TOF
mean.norm.EXT	N2	-0.0113672225490508	EXT_BROOD_TOF
mean.norm.EXT	PB303	0.1912840260672	EXT_BROOD_TOF
mean.norm.EXT	PB306	-0.0993065716519035	EXT_BROOD_TOF
mean.norm.EXT	PX179	-0.742717871612693	EXT_BROOD_TOF
mean.norm.EXT	RC301	0.306381940622954	EXT_BROOD_TOF
mean.norm.EXT	WN2002	0.833497708743594	EXT_BROOD_TOF
mean.TOF	AB1	0.196578225379908	EXT_BROOD_TOF
mean.TOF	CB4852	-33.9039276655867	EXT_BROOD_TOF
mean.TOF	CB4854	-5.39661487685888	EXT_BROOD_TOF
mean.TOF	CB4856	56.2572502660372	EXT_BROOD_TOF
mean.TOF	CB4857	-44.0942712155679	EXT_BROOD_TOF
mean.TOF	CB4858	26.1646343202665	EXT_BROOD_TOF
mean.TOF	CB4932	-4.44011441960926	EXT_BROOD_TOF
mean.TOF	CX11262	-22.3342153688774	EXT_BROOD_TOF
mean.TOF	CX11264	23.5074454093652	EXT_BROOD_TOF
mean.TOF	CX11271	47.5026413874613	EXT_BROOD_TOF
mean.TOF	CX11276	40.1295959932893	EXT_BROOD_TOF
mean.TOF	CX11285	-47.4548391588632	EXT_BROOD_TOF
mean.TOF	CX11292	-0.194904818915226	EXT_BROOD_TOF
mean.TOF	CX11307	-18.5426938610308	EXT_BROOD_TOF
mean.TOF	CX11314	-31.2191454136394	EXT_BROOD_TOF
mean.TOF	CX11315	-61.3869639628507	EXT_BROOD_TOF
mean.TOF	DL200	7.62855578739392	EXT_BROOD_TOF
mean.TOF	DL226	20.0973324679737	EXT_BROOD_TOF
mean.TOF	DL238	-54.7225131859637	EXT_BROOD_TOF
mean.TOF	ED3005	83.8512254213885	EXT_BROOD_TOF
mean.TOF	ED3011	83.6730292394646	EXT_BROOD_TOF
mean.TOF	ED3012	44.3449671466598	EXT_BROOD_TOF
mean.TOF	ED3040	4.25257359266141	EXT_BROOD_TOF
mean.TOF	ED3046	37.7236157310623	EXT_BROOD_TOF
mean.TOF	ED3048	21.065141249372	EXT_BROOD_TOF
