strain	GT	long	lat
JU346	REF	4.4	44.42
LSJ1	REF	-2.59	51.45
ED3073	REF	36.65	-1.083333
JU778	REF	-9.1491	38.719
JU406	REF	-0.32	49.28
MY23	ALT	7.53	51.96
ED3011	ALT	-3.19	55.92
JU792	REF	0.24	43.06
ED3040	REF	28.016667	-26.166667
JU1896	REF	23.749673	37.999722
JU1581	REF	2.1725	48.7015
MY18	ALT	7.53	51.96
CX11262	REF	-118.114835	34.130138
ED3049	REF	19.316667	-33.366667
JU774	REF	-9.34	38.683
EG4724	ALT	-8.3476	41.6288
CX11276	REF	-118.21198	34.20111
CX11307	REF	-118.10987	34.12946
JU782	REF	-9.1503	38.7191
EG4725	REF	-8.3476	41.6288
JU1172	REF	-73.04	-36.87
CX11271	REF	-118.12532	34.13712
MY1	REF	7.31	52.54
ED3012	REF	-3.19	55.92
CB4857	REF	-117.719	34.096
JU1395	REF	0.04619	47.2199
DL200	REF	38.74	9.03
JU1200	REF	-4.6	55.577
EG4347	REF	-123.07108	44.04789
ED3046	REF	19.316667	-33.366667
CB4854	REF	-118.131	34.189
ED3005	ALT	-3.36	55.94
ED3077	REF	36.8	-1.316667
JU258	REF	-16.89	32.73
JU367	REF	2.23	48.98
CB4856	ALT	-157.86	21.33
CB4932	REF	-3.1	51.02
JU1213	REF	-3.81	48.71
JU393	REF	-0.32	49.28
AB1	REF	138.59	-34.93
CX11292	REF	-118.30582	34.13531
DL238	REF	-155.81	19.11
JU847	REF	7.461	48.46
WN2002	ALT	5.694834	51.975285
JU323	REF	4.4	44.42
JU1212	REF	-3.81	48.71
KR314	ALT	-123.13	49.28
JU1530	REF	2.1725	48.7015
JU1652	REF	-56.19	-34.86
EG4349	REF	-111.87316	40.771467
CX11314	REF	-118.10987	34.12946
DL226	ALT	-123.2821	44.5633
EG4946	REF	-111.82184	40.72596
CX11285	REF	-118.05496	34.14331
N2	REF	-2.59	51.45
CX11315	REF	-118.10987	34.12946
JU1440	REF	2.15231	41.41307
JU1568	REF	2.3862	48.8092
JU311	REF	4.4	44.42
LKC34	REF	46	-18
JU1409	ALT	-5.637	37.468
ED3052	REF	19.316667	-33.366667
ED3048	REF	19.316667	-33.366667
PX179	REF	-123.058	44.035
CX11264	REF	-118.114835	34.130138
JU440	REF	1.56	48.715
JT11398	REF	-122.275484	47.763944
JU642	REF	2.5	48.84
MY10	ALT	7.53	51.96
JU1242	REF	1.9595	49.1269
RC301	ALT	7.84	47.99
JU310	REF	1.06	46.63
JU1586	REF	1.06	46.63
JU394	REF	-0.32	49.28
JU1246	REF	1.96152	49.12618
JU751	REF	2.5	48.84
JU830	REF	9.05	48.52
JU561	REF	-3.81	48.71
JU1491	REF	1.06	46.63
CB4858	REF	-118.1	34.1
JU360	REF	2.23	48.98
MY16	ALT	7.57	51.93
JU1580	REF	2.1725	48.7015
