Sample,C15iso,C15n,C17iso,C17n,TIC
N2-A-Mock,10593278,30159482,46338299,21908701,
N2-A-100,7490650,35429532,31046798,18878481,
N2-B-Mock,11553437,24261918,73767162,22012887,
N2-B-100,7729601,42563971,21913472,18262068,
N2-B-200,4891103,32397774,13489164,11926184,
N2-C-Mock,9974874,36440655,51974961,21842368,
N2-C-100,8218589,44324372,25382756,19848138,
N2-C-200,7057616,46978121,19756933,17969573,
CB-A-Mock,5716805,24180366,19743097,13682251,
CB-A-100,3989980,21715783,11427134,11060243,
CB-A-200,4059151,26580785,9822015,12360171,
CB-B-Mock,4451861,22892549,20495562,13146038,
CB-B-100,4252540,24112836,10276501,10669995,
CB-B-200,4432005,36918449,9668281,14435108,
CB-C-Mock,6936142,33990781,38146164,18004161,
CB-C-100,5570106,40410496,16607586,19414364,
CB-C-200,3604572,40944720,8718966,17068148,
581-A-Mock,14158977,33328425,70502602,24503676,
581-A-100,11696125,37812181,55842773,22263483,
581-B-Mock,13525045,23237436,106801900,23579987,
581-B-100,19487747,39599688,171316505,30766981,
581-C-Mock,65154028,48951795,850848424,114002585,
581-C-100,10268890,42019035,51464180,22071834,
590-A-Mock,14345963,33600440,108147411,24931406,
590-A-100,5829967,33648379,20637608,17224258,
590-B-Mock,13485691,35972943,90611908,26469267,
590-B-100,10358124,41740944,42664217,23379629,
590-C-Mock,11155945,37343034,56971022,22134168,
590-C-100,6423874,39620177,28938257,18585677,
