strain	replicate	concentration	compound	value
N2	A	Mock	C15iso	10593278
N2	A	100	C15iso	7490650
N2	B	Mock	C15iso	11553437
N2	B	100	C15iso	7729601
N2	C	Mock	C15iso	9974874
N2	C	100	C15iso	8218589
CB	A	Mock	C15iso	5716805
CB	A	100	C15iso	3989980
CB	B	Mock	C15iso	4451861
CB	B	100	C15iso	4252540
CB	C	Mock	C15iso	6936142
CB	C	100	C15iso	5570106
581	A	Mock	C15iso	14158977
581	A	100	C15iso	11696125
581	B	Mock	C15iso	13525045
581	B	100	C15iso	19487747
581	C	100	C15iso	10268890
590	A	Mock	C15iso	14345963
590	A	100	C15iso	5829967
590	B	Mock	C15iso	13485691
590	B	100	C15iso	10358124
590	C	Mock	C15iso	11155945
590	C	100	C15iso	6423874
N2	A	Mock	C15n	30159482
N2	A	100	C15n	35429532
N2	B	Mock	C15n	24261918
N2	B	100	C15n	42563971
N2	C	Mock	C15n	36440655
N2	C	100	C15n	44324372
CB	A	Mock	C15n	24180366
CB	A	100	C15n	21715783
CB	B	Mock	C15n	22892549
CB	B	100	C15n	24112836
CB	C	Mock	C15n	33990781
CB	C	100	C15n	40410496
581	A	Mock	C15n	33328425
581	A	100	C15n	37812181
581	B	Mock	C15n	23237436
581	B	100	C15n	39599688
581	C	100	C15n	42019035
590	A	Mock	C15n	33600440
590	A	100	C15n	33648379
590	B	Mock	C15n	35972943
590	B	100	C15n	41740944
590	C	Mock	C15n	37343034
590	C	100	C15n	39620177
N2	A	Mock	C17iso	46338299
N2	A	100	C17iso	31046798
N2	B	Mock	C17iso	73767162
N2	B	100	C17iso	21913472
N2	C	Mock	C17iso	51974961
N2	C	100	C17iso	25382756
CB	A	Mock	C17iso	19743097
CB	A	100	C17iso	11427134
CB	B	Mock	C17iso	20495562
CB	B	100	C17iso	10276501
CB	C	Mock	C17iso	38146164
CB	C	100	C17iso	16607586
581	A	Mock	C17iso	70502602
581	A	100	C17iso	55842773
581	B	Mock	C17iso	106801900
581	B	100	C17iso	171316505
581	C	100	C17iso	51464180
590	A	Mock	C17iso	108147411
590	A	100	C17iso	20637608
590	B	Mock	C17iso	90611908
590	B	100	C17iso	42664217
590	C	Mock	C17iso	56971022
590	C	100	C17iso	28938257
N2	A	Mock	C17n	21908701
N2	A	100	C17n	18878481
N2	B	Mock	C17n	22012887
N2	B	100	C17n	18262068
N2	C	Mock	C17n	21842368
N2	C	100	C17n	19848138
CB	A	Mock	C17n	13682251
CB	A	100	C17n	11060243
CB	B	Mock	C17n	13146038
CB	B	100	C17n	10669995
CB	C	Mock	C17n	18004161
CB	C	100	C17n	19414364
581	A	Mock	C17n	24503676
581	A	100	C17n	22263483
581	B	Mock	C17n	23579987
581	B	100	C17n	30766981
581	C	100	C17n	22071834
590	A	Mock	C17n	24931406
590	A	100	C17n	17224258
590	B	Mock	C17n	26469267
590	B	100	C17n	23379629
590	C	Mock	C17n	22134168
590	C	100	C17n	18585677
N2	A	Mock	rC15	0.351242040562898
N2	A	100	rC15	0.211423904780904
N2	B	Mock	rC15	0.476196358424754
N2	B	100	rC15	0.181599620956419
N2	C	Mock	rC15	0.273729272978216
N2	C	100	rC15	0.185419186536924
CB	A	Mock	rC15	0.236423427172277
CB	A	100	rC15	0.183736409596651
CB	B	Mock	rC15	0.194467684660192
CB	B	100	rC15	0.176360010079279
CB	C	Mock	rC15	0.204059506605629
CB	C	100	rC15	0.13783810027969
581	A	Mock	rC15	0.424831866492341
581	A	100	rC15	0.309321617814111
581	B	Mock	rC15	0.582036890817042
581	B	100	rC15	0.492118700531176
581	C	100	rC15	0.244386621444305
590	A	Mock	rC15	0.426957593412467
590	A	100	rC15	0.17326145191125
590	B	Mock	rC15	0.37488428455798
590	B	100	rC15	0.248152605269301
590	C	Mock	rC15	0.298742330363409
590	C	100	rC15	0.162136428618176
N2	A	Mock	rC17	2.11506373654924
N2	A	100	rC17	1.64456017409452
N2	B	Mock	rC17	3.35108984114623
N2	B	100	rC17	1.19994471600916
N2	C	Mock	rC17	2.37954790432979
N2	C	100	rC17	1.27884822243779
CB	A	Mock	rC17	1.44297140872507
CB	A	100	rC17	1.03317205598467
CB	B	Mock	rC17	1.55906760652905
CB	B	100	rC17	0.963121444761689
CB	C	Mock	rC17	2.11874155091148
CB	C	100	rC17	0.855427764721008
581	A	Mock	rC17	2.87722552322354
581	A	100	rC17	2.50826759676372
581	B	Mock	rC17	4.52934516036841
581	B	100	rC17	5.56819354489152
581	C	100	rC17	2.33166759046847
590	A	Mock	rC17	4.33779831751166
590	A	100	rC17	1.19817109102755
590	B	Mock	rC17	3.42328739212914
590	B	100	rC17	1.82484576637208
590	C	Mock	rC17	2.57389489408411
590	C	100	rC17	1.55701925735608
