Strain	Condition	u_strain	row	col	control	Trait	Value	conc
N2	C15ISO12	N2_C15ISO12_3_A_1_.12 µmol	A	1	EtOH	mean.norm.EXT	2.12951191498427	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_10_.12 µmol	A	10	EtOH	mean.norm.EXT	2.15585440485889	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_11_.12 µmol	A	11	EtOH	mean.norm.EXT	1.99849402651869	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_2_.12 µmol	A	2	EtOH	mean.norm.EXT	2.12243830710206	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_3_.12 µmol	A	3	EtOH	mean.norm.EXT	2.12047012105842	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_4_.12 µmol	A	4	EtOH	mean.norm.EXT	2.02893282513635	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_5_.12 µmol	A	5	EtOH	mean.norm.EXT	2.19347828626431	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_6_.12 µmol	A	6	EtOH	mean.norm.EXT	2.05384683247164	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_7_.12 µmol	A	7	EtOH	mean.norm.EXT	2.12481923770206	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_8_.12 µmol	A	8	EtOH	mean.norm.EXT	2.0911241238386	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_9_.12 µmol	A	9	EtOH	mean.norm.EXT	2.09219379810056	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_1_.12 µmol	B	1	EtOH	mean.norm.EXT	2.06407908740958	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_10_.12 µmol	B	10	EtOH	mean.norm.EXT	1.99562904677637	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_11_.12 µmol	B	11	EtOH	mean.norm.EXT	2.23678250517234	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_2_.12 µmol	B	2	EtOH	mean.norm.EXT	2.14200043799485	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_3_.12 µmol	B	3	EtOH	mean.norm.EXT	2.10801719046841	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_4_.12 µmol	B	4	EtOH	mean.norm.EXT	1.98717193960663	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_5_.12 µmol	B	5	EtOH	mean.norm.EXT	2.13151250016423	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_6_.12 µmol	B	6	EtOH	mean.norm.EXT	2.10761977188753	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_7_.12 µmol	B	7	EtOH	mean.norm.EXT	1.97269330826942	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_8_.12 µmol	B	8	EtOH	mean.norm.EXT	2.06483434943241	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_9_.12 µmol	B	9	EtOH	mean.norm.EXT	2.08675106942191	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_1_.12 µmol	C	1	EtOH	mean.norm.EXT	2.0312680015239	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_10_.12 µmol	C	10	EtOH	mean.norm.EXT	2.17828209225005	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_11_.12 µmol	C	11	EtOH	mean.norm.EXT	2.07636907415185	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_2_.12 µmol	C	2	EtOH	mean.norm.EXT	2.10941719338816	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_3_.12 µmol	C	3	EtOH	mean.norm.EXT	1.98373795182717	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_4_.12 µmol	C	4	EtOH	mean.norm.EXT	2.06602344340724	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_5_.12 µmol	C	5	EtOH	mean.norm.EXT	2.18973272764467	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_6_.12 µmol	C	6	EtOH	mean.norm.EXT	2.04548077850304	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_7_.12 µmol	C	7	EtOH	mean.norm.EXT	2.11199404513391	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_8_.12 µmol	C	8	EtOH	mean.norm.EXT	2.09971944137348	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_9_.12 µmol	C	9	EtOH	mean.norm.EXT	2.19993782365897	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_1_.12 µmol	D	1	EtOH	mean.norm.EXT	2.21097321223505	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_10_.12 µmol	D	10	EtOH	mean.norm.EXT	2.29602879532451	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_11_.12 µmol	D	11	EtOH	mean.norm.EXT	2.00987292036739	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_2_.12 µmol	D	2	EtOH	mean.norm.EXT	2.2191315947425	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_3_.12 µmol	D	3	EtOH	mean.norm.EXT	2.03676199524389	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_4_.12 µmol	D	4	EtOH	mean.norm.EXT	2.06387469999789	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_5_.12 µmol	D	5	EtOH	mean.norm.EXT	2.01825384497106	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_6_.12 µmol	D	6	EtOH	mean.norm.EXT	2.19755896741031	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_7_.12 µmol	D	7	EtOH	mean.norm.EXT	2.05975027942717	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_8_.12 µmol	D	8	EtOH	mean.norm.EXT	2.08248777259854	.12 µmol
