p_val	Edit	Conc	Rep
0.502121272073283	S112C	0uM	1
0.502017403227038	S112C	0uM	2
0.502240865894368	S112C	0uM	1
0.502193461571613	S112C	0uM	2
0.00147174779277626	S112C	2.5uM	1
0.0134788692529859	S112C	2.5uM	2
8.0913133602043e-13	S112C	2.5uM	1
3.15637474585969e-13	S112C	2.5uM	2
1.88067239617843e-16	S112C	5uM	1
1.15505271316368e-19	S112C	5uM	2
1.03618076124973e-127	S112C	5uM	1
1.70119273833672e-195	S112C	5uM	2
0.504456261522075	R113C	0uM	1
0.504079175337757	R113C	0uM	2
0.504467830279732	R113C	0uM	1
0.504491693506543	R113C	0uM	2
0.00360876390974368	R113C	2.5uM	1
2.37416819135065e-13	R113C	2.5uM	2
0.00100235743413997	R113C	2.5uM	1
0.795418410577719	R113C	2.5uM	2
1.16001953913739e-06	R113C	5uM	1
7.5861022986992e-05	R113C	5uM	2
0.0041053983907923	R113C	5uM	1
0.0114351357703215	R113C	5uM	2
2.66729814758557e-12	W84C	2.5uM	1
4.60454769639201e-19	W84C	2.5uM	2
0.00627268795081492	W84C	2.5uM	1
0.000407375830897663	W84C	2.5uM	2
1.777715827065e-140	W84C	5uM	1
6.23361726096752e-116	W84C	5uM	2
4.44097151128616e-75	W84C	5uM	1
2.50272870316811e-85	W84C	5uM	2
0.503402675020746	W84C	0uM	1
0.503478235966941	W84C	0uM	2
0.502761490653099	W84C	0uM	1
0.502630857599607	W84C	0uM	2
