Sample,Replicate,C15iso,C15n,C15_ratio,C17iso,C17n,C17_ratio
mock,A,19517100,28322871,0.68909327730229,24205523,26071409,0.928431716137781
arsenic,A,19503966,26553236,0.734523129308985,22990895,25516196,0.901031446850463
mock,B,30981581,34277012,0.903858860276386,106582468,41573281,2.56372519647896
arsenic,B,15276994,12406262,1.23139379129669,31405621,7585359,4.14029461229192
mock,C,35654230,40912509,0.871475029800788,91974658,37282257,2.46698202847537
arsenic,C,23774054,18092303,1.31404244114196,34440426,7625004,4.51677481087223
mock,D,37230677,59011894,0.630901238316465,80284616,37836902,2.12186018823634
arsenic,D,45635206,42751487,1.06745306894237,80978746,20530311,3.94435067252513
mock,E,39037092,53123502,0.734836570074014,82524816,38203726,2.16012480039251
arsenic,E,63871667,48370666,1.32046284001961,117586573,24614418,4.77714212052464
