plate	condition	control	strain	row	col	trait	value
3	DMSO	NA	N2	A	1	n	369
3	albendazole125	DMSO	CB4856	A	10	n	186
3	albendazole25	DMSO	CB4856	A	11	n	112
3	albendazole3125	DMSO	N2	A	2	n	357
3	albendazole625	DMSO	N2	A	3	n	235
3	albendazole125	DMSO	N2	A	4	n	188
3	albendazole25	DMSO	N2	A	5	n	123
3	DMSO	NA	CB4856	A	7	n	290
3	albendazole3125	DMSO	CB4856	A	8	n	330
3	albendazole625	DMSO	CB4856	A	9	n	214
3	DMSO	NA	DL238	B	1	n	343
3	albendazole125	DMSO	Ju775	B	10	n	207
3	albendazole25	DMSO	Ju775	B	11	n	180
3	albendazole3125	DMSO	DL238	B	2	n	316
3	albendazole625	DMSO	DL238	B	3	n	308
3	albendazole125	DMSO	DL238	B	4	n	228
3	albendazole25	DMSO	DL238	B	5	n	116
3	DMSO	NA	Ju775	B	7	n	188
3	albendazole625	DMSO	Ju775	B	9	n	176
3	DMSO	NA	DL238	C	1	n	295
3	albendazole125	DMSO	N2	C	10	n	156
3	albendazole25	DMSO	N2	C	11	n	111
3	albendazole3125	DMSO	DL238	C	2	n	294
3	albendazole625	DMSO	DL238	C	3	n	306
3	albendazole125	DMSO	DL238	C	4	n	194
3	albendazole25	DMSO	DL238	C	5	n	156
3	DMSO	NA	N2	C	7	n	335
3	albendazole3125	DMSO	N2	C	8	n	321
3	albendazole625	DMSO	N2	C	9	n	245
3	DMSO	NA	Ju775	D	1	n	95
3	albendazole125	DMSO	CB4856	D	10	n	219
3	albendazole25	DMSO	CB4856	D	11	n	77
3	albendazole3125	DMSO	Ju775	D	2	n	115
3	albendazole625	DMSO	Ju775	D	3	n	90
3	albendazole125	DMSO	Ju775	D	4	n	59
3	albendazole25	DMSO	Ju775	D	5	n	96
3	DMSO	NA	CB4856	D	7	n	326
3	albendazole3125	DMSO	CB4856	D	8	n	193
3	albendazole625	DMSO	CB4856	D	9	n	261
3	DMSO	NA	Ju775	E	1	n	295
3	albendazole125	DMSO	DL238	E	10	n	175
3	albendazole25	DMSO	DL238	E	11	n	143
3	albendazole3125	DMSO	Ju775	E	2	n	135
3	albendazole625	DMSO	Ju775	E	3	n	210
3	albendazole25	DMSO	Ju775	E	5	n	34
3	albendazole3125	DMSO	DL238	E	8	n	194
3	albendazole625	DMSO	DL238	E	9	n	246
3	DMSO	NA	CB4856	F	1	n	230
3	albendazole125	DMSO	N2	F	10	n	157
3	albendazole25	DMSO	N2	F	11	n	132
3	albendazole3125	DMSO	CB4856	F	2	n	215
3	albendazole625	DMSO	CB4856	F	3	n	229
3	albendazole125	DMSO	CB4856	F	4	n	167
3	albendazole25	DMSO	CB4856	F	5	n	119
3	DMSO	NA	N2	F	7	n	73
3	albendazole3125	DMSO	N2	F	8	n	170
3	albendazole625	DMSO	N2	F	9	n	96
3	DMSO	NA	CB4856	G	1	n	222
3	albendazole125	DMSO	Ju775	G	10	n	80
3	albendazole25	DMSO	Ju775	G	11	n	97
3	albendazole3125	DMSO	CB4856	G	2	n	290
3	albendazole125	DMSO	CB4856	G	4	n	107
3	albendazole25	DMSO	CB4856	G	5	n	79
3	albendazole625	DMSO	Ju775	G	9	n	203
3	DMSO	NA	N2	H	1	n	178
3	albendazole625	DMSO	N2	H	3	n	97
3	albendazole25	DMSO	N2	H	5	n	56
3	DMSO	NA	DL238	H	7	n	292
3	DMSO	NA	N2	A	1	mean.TOF	240.460704607046
3	albendazole125	DMSO	CB4856	A	10	mean.TOF	174.284946236559
3	albendazole25	DMSO	CB4856	A	11	mean.TOF	154.892857142857
3	albendazole3125	DMSO	N2	A	2	mean.TOF	218.647058823529
3	albendazole625	DMSO	N2	A	3	mean.TOF	197.387234042553
3	albendazole125	DMSO	N2	A	4	mean.TOF	183.090425531915
3	albendazole25	DMSO	N2	A	5	mean.TOF	160.170731707317
3	DMSO	NA	CB4856	A	7	mean.TOF	271.613793103448
3	albendazole3125	DMSO	CB4856	A	8	mean.TOF	226.863636363636
3	albendazole625	DMSO	CB4856	A	9	mean.TOF	227.392523364486
3	DMSO	NA	DL238	B	1	mean.TOF	251.209912536443
3	albendazole125	DMSO	Ju775	B	10	mean.TOF	205.231884057971
3	albendazole25	DMSO	Ju775	B	11	mean.TOF	181.616666666667
3	albendazole3125	DMSO	DL238	B	2	mean.TOF	219.417721518987
3	albendazole625	DMSO	DL238	B	3	mean.TOF	224.909090909091
3	albendazole125	DMSO	DL238	B	4	mean.TOF	190.614035087719
3	albendazole25	DMSO	DL238	B	5	mean.TOF	179.974137931034
3	DMSO	NA	Ju775	B	7	mean.TOF	273.218085106383
3	albendazole625	DMSO	Ju775	B	9	mean.TOF	224.153409090909
3	DMSO	NA	DL238	C	1	mean.TOF	228.505084745763
3	albendazole125	DMSO	N2	C	10	mean.TOF	174.403846153846
3	albendazole25	DMSO	N2	C	11	mean.TOF	141.198198198198
3	albendazole3125	DMSO	DL238	C	2	mean.TOF	209.180272108844
3	albendazole625	DMSO	DL238	C	3	mean.TOF	208.56862745098
3	albendazole125	DMSO	DL238	C	4	mean.TOF	198.536082474227
3	albendazole25	DMSO	DL238	C	5	mean.TOF	171.788461538462
3	DMSO	NA	N2	C	7	mean.TOF	288.785074626866
3	albendazole3125	DMSO	N2	C	8	mean.TOF	201.476635514019
3	albendazole625	DMSO	N2	C	9	mean.TOF	195.648979591837
3	DMSO	NA	Ju775	D	1	mean.TOF	218.915789473684
3	albendazole125	DMSO	CB4856	D	10	mean.TOF	186.65296803653
3	albendazole25	DMSO	CB4856	D	11	mean.TOF	148.467532467532
3	albendazole3125	DMSO	Ju775	D	2	mean.TOF	215.991304347826
3	albendazole625	DMSO	Ju775	D	3	mean.TOF	197.922222222222
3	albendazole125	DMSO	Ju775	D	4	mean.TOF	202.677966101695
3	albendazole25	DMSO	Ju775	D	5	mean.TOF	192.145833333333
3	DMSO	NA	CB4856	D	7	mean.TOF	253.613496932515
3	albendazole3125	DMSO	CB4856	D	8	mean.TOF	197.554404145078
3	albendazole625	DMSO	CB4856	D	9	mean.TOF	197.789272030651
3	DMSO	NA	Ju775	E	1	mean.TOF	249.359322033898
3	albendazole125	DMSO	DL238	E	10	mean.TOF	199.057142857143
3	albendazole25	DMSO	DL238	E	11	mean.TOF	164.104895104895
3	albendazole3125	DMSO	Ju775	E	2	mean.TOF	248
3	albendazole625	DMSO	Ju775	E	3	mean.TOF	249.971428571429
3	albendazole25	DMSO	Ju775	E	5	mean.TOF	171.529411764706
3	albendazole3125	DMSO	DL238	E	8	mean.TOF	229.809278350515
3	albendazole625	DMSO	DL238	E	9	mean.TOF	210.532520325203
3	DMSO	NA	CB4856	F	1	mean.TOF	247.752173913043
3	albendazole125	DMSO	N2	F	10	mean.TOF	177.484076433121
3	albendazole25	DMSO	N2	F	11	mean.TOF	149.719696969697
3	albendazole3125	DMSO	CB4856	F	2	mean.TOF	226.093023255814
3	albendazole625	DMSO	CB4856	F	3	mean.TOF	204.441048034935
3	albendazole125	DMSO	CB4856	F	4	mean.TOF	174.37125748503
3	albendazole25	DMSO	CB4856	F	5	mean.TOF	153.075630252101
3	DMSO	NA	N2	F	7	mean.TOF	279.041095890411
3	albendazole3125	DMSO	N2	F	8	mean.TOF	188.976470588235
3	albendazole625	DMSO	N2	F	9	mean.TOF	185.645833333333
3	DMSO	NA	CB4856	G	1	mean.TOF	266.954954954955
3	albendazole125	DMSO	Ju775	G	10	mean.TOF	208.725
3	albendazole25	DMSO	Ju775	G	11	mean.TOF	205.247422680412
3	albendazole3125	DMSO	CB4856	G	2	mean.TOF	217.372413793103
3	albendazole125	DMSO	CB4856	G	4	mean.TOF	183.084112149533
3	albendazole25	DMSO	CB4856	G	5	mean.TOF	158.924050632911
3	albendazole625	DMSO	Ju775	G	9	mean.TOF	226.344827586207
3	DMSO	NA	N2	H	1	mean.TOF	239.410112359551
