condition,strain,trait,phenotype
etoposide,Bristol,median.TOF,24.5763971524813
etoposide,Bristol,median.TOF,49.5763971524803
etoposide,Hawaii,median.TOF,-68.8338617402809
etoposide,Hawaii,median.TOF,-74.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-43.1285925837185
etoposide,Hawaii/∆Bristol,median.TOF,-23.1285925837185
etoposide,Hawaii/∆Hawaii,median.TOF,-20.8952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-53.8952820588322
etoposide,Bristol/∆Bristol,median.TOF,37.0416115687698
etoposide,Bristol/∆Bristol,median.TOF,40.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,45.6435789493131
etoposide,Bristol/∆Hawaii,median.TOF,45.6435789493131
etoposide,Bristol,median.TOF,23.0763971524803
etoposide,Bristol,median.TOF,22.0763971524803
etoposide,Hawaii,median.TOF,-68.3338617402809
etoposide,Hawaii,median.TOF,-66.3338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-14.6285925837185
etoposide,Hawaii/∆Bristol,median.TOF,-13.1285925837185
etoposide,Hawaii/∆Hawaii,median.TOF,-16.8952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-25.8952820588322
etoposide,Bristol/∆Bristol,median.TOF,0.0416115687697984
etoposide,Bristol/∆Bristol,median.TOF,32.5416115687698
etoposide,Bristol/∆Hawaii,median.TOF,46.6435789493131
etoposide,Bristol/∆Hawaii,median.TOF,45.6435789493131
etoposide,Bristol,median.TOF,50.5763971524803
etoposide,Bristol,median.TOF,44.0763971524803
etoposide,Hawaii,median.TOF,-54.8338617402809
etoposide,Hawaii,median.TOF,-75.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-23.1285925837185
etoposide,Hawaii/∆Bristol,median.TOF,0.871407416281458
etoposide,Hawaii/∆Hawaii,median.TOF,-32.3952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,3.10471794116777
etoposide,Bristol/∆Bristol,median.TOF,34.5416115687698
etoposide,Bristol/∆Bristol,median.TOF,33.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,35.6435789493131
etoposide,Bristol/∆Hawaii,median.TOF,62.6435789493131
etoposide,Bristol,median.TOF,30.5763971524803
etoposide,Bristol,median.TOF,56.0763971524803
etoposide,Hawaii,median.TOF,-71.3338617402809
etoposide,Hawaii,median.TOF,-37.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-19.1285925837185
etoposide,Hawaii/∆Bristol,median.TOF,-1.12859258371854
etoposide,Hawaii/∆Hawaii,median.TOF,-24.3952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-66.8952820588322
etoposide,Bristol/∆Bristol,median.TOF,30.0416115687698
etoposide,Bristol/∆Bristol,median.TOF,39.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,-3.35642105068693
etoposide,Bristol/∆Hawaii,median.TOF,20.6435789493131
etoposide,Bristol,median.TOF,29.5763971524803
etoposide,Bristol,median.TOF,54.5763971524803
etoposide,Hawaii,median.TOF,-6.8338617402809
etoposide,Hawaii,median.TOF,-56.3338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-24.6285925837185
etoposide,Hawaii/∆Bristol,median.TOF,-6.12859258371854
etoposide,Hawaii/∆Hawaii,median.TOF,-28.8952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-19.8952820588322
etoposide,Bristol/∆Bristol,median.TOF,43.0416115687698
etoposide,Bristol/∆Bristol,median.TOF,39.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,39.1435789493131
etoposide,Bristol/∆Hawaii,median.TOF,18.6435789493131
etoposide,Bristol,median.TOF,28.5763971524803
etoposide,Bristol,median.TOF,33.5763971524803
etoposide,Hawaii,median.TOF,-79.3338617402809
etoposide,Hawaii,median.TOF,-39.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-7.62859258371854
etoposide,Hawaii/∆Bristol,median.TOF,-14.6285925837185
etoposide,Hawaii/∆Hawaii,median.TOF,-17.8952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-31.8952820588322
etoposide,Bristol/∆Bristol,median.TOF,24.0416115687698
etoposide,Bristol/∆Bristol,median.TOF,50.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,60.6435789493131
etoposide,Bristol/∆Hawaii,median.TOF,34.6435789493131
etoposide,Bristol,median.TOF,51.0763971524803
etoposide,Bristol,median.TOF,43.5763971524803
etoposide,Hawaii,median.TOF,-52.8338617402809
etoposide,Hawaii,median.TOF,-77.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-23.1285925837185
etoposide,Hawaii/∆Bristol,median.TOF,-17.1285925837185
etoposide,Hawaii/∆Hawaii,median.TOF,-23.8952820588322
etoposide,Hawaii/∆Hawaii,median.TOF,-53.3952820588322
etoposide,Bristol/∆Bristol,median.TOF,39.5416115687698
etoposide,Bristol/∆Bristol,median.TOF,45.5416115687698
etoposide,Bristol/∆Hawaii,median.TOF,42.6435789493131
etoposide,Bristol/∆Hawaii,median.TOF,49.6435789493131
etoposide,Bristol,median.TOF,74.5763971524803
etoposide,Hawaii,median.TOF,-52.8338617402809
etoposide,Hawaii/∆Bristol,median.TOF,-28.1285925837185
etoposide,Hawaii/∆Hawaii,median.TOF,-55.3952820588322
etoposide,Bristol/∆Bristol,median.TOF,49.0416115687698
etoposide,Bristol/∆Hawaii,median.TOF,39.6435789493131
