strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
N2,Amsacrine,0,q75.TOF,-24.8409090909091,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,21.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-20.3409090909091,0.191585438255204
N2,Amsacrine,50,q75.TOF,-79.8409090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-64.3409090909091,0.539685279872395
JU258,Amsacrine,0,q75.TOF,31.0625,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,20.0625,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-32.9375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-112.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-138.4375,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,32.6041666666667,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,52.8541666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-5.14583333333331,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,35.6041666666667,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-167.895833333333,0.539685279872395
DL238,Amsacrine,0,q75.TOF,-23.5681818181818,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,7.68181818181819,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-46.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-59.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-59.0681818181818,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,68.1041666666667,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,56.6041666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,35.6041666666667,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-36.3958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-154.395833333333,0.539685279872395
N2,Amsacrine,0,q75.TOF,36.4090909090909,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,78.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-2.84090909090907,0.191585438255204
N2,Amsacrine,50,q75.TOF,-47.8409090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-132.840909090909,0.539685279872395
DL238,Amsacrine,0,q75.TOF,-4.06818181818181,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,5.43181818181819,0.275278928843269
DL238,Amsacrine,25,q75.TOF,48.4318181818182,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-65.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-74.5681818181818,0.539685279872395
JU258,Amsacrine,0,q75.TOF,61.8125,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-23.9375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-20.9375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-142.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-183.1875,0.539685279872395
DL238,Amsacrine,0,q75.TOF,42.4318181818182,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,-10.5681818181818,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-13.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,10.4318181818182,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-64.3181818181818,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,-44.3958333333333,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,63.3541666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-7.39583333333331,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,26.1041666666667,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-131.395833333333,0.539685279872395
JU258,Amsacrine,0,q75.TOF,76.0625,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,0.5625,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-41.9375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-122.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-157.4375,0.539685279872395
N2,Amsacrine,0,q75.TOF,43.1590909090909,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,37.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,25.9090909090909,0.191585438255204
N2,Amsacrine,50,q75.TOF,-49.0909090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-84.8409090909091,0.539685279872395
JU258,Amsacrine,0,q75.TOF,89.5625,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,6.3125,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-38.4375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-111.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-151.9375,0.539685279872395
DL238,Amsacrine,0,q75.TOF,41.9318181818182,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,-27.5681818181818,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-0.318181818181813,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-50.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-75.0681818181818,0.539685279872395
N2,Amsacrine,12,q75.TOF,56.6590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,29.9090909090909,0.191585438255204
N2,Amsacrine,50,q75.TOF,-63.8409090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-99.0909090909091,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,42.6041666666667,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,19.6041666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-28.3958333333333,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-103.145833333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-127.145833333333,0.539685279872395
N2,Etoposide,0,q75.TOF,-58.1166666666667,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,13.8833333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,-36.1166666666667,0
N2,Etoposide,125,q75.TOF,-22.8666666666667,0.304381766046181
N2,Etoposide,250,q75.TOF,-28.3666666666667,0.615354748540869
JU258,Etoposide,0,q75.TOF,-53.140625,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,-0.140625,0.0525360298460579
JU258,Etoposide,62,q75.TOF,-4.890625,0
JU258,Etoposide,125,q75.TOF,-38.640625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-64.140625,0.615354748540869
CB4856,Etoposide,0,q75.TOF,26.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,39.1875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,21.6875,0
CB4856,Etoposide,125,q75.TOF,-61.8125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-214.5625,0.615354748540869
DL238,Etoposide,0,q75.TOF,-62.71875,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,-32.71875,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-30.71875,0
DL238,Etoposide,125,q75.TOF,-12.71875,0.304381766046181
DL238,Etoposide,250,q75.TOF,13.28125,0.615354748540869
CB4856,Etoposide,0,q75.TOF,45.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,69.6875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,50.9375,0
CB4856,Etoposide,125,q75.TOF,-80.8125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-240.3125,0.615354748540869
N2,Etoposide,0,q75.TOF,42.3833333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,5.88333333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,7.88333333333333,0
N2,Etoposide,125,q75.TOF,5.88333333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,-20.1166666666667,0.615354748540869
DL238,Etoposide,0,q75.TOF,26.53125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,22.53125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-14.71875,0
