condition,strain,trait,phenotype
etoposide,QX318,median.TOF,5.32537174705472
etoposide,QX89,median.TOF,-20.0320809605461
etoposide,QX184,median.TOF,-39.8291443423643
etoposide,QX297,median.TOF,8.83080032961398
etoposide,QX267,median.TOF,-8.54442766975009
etoposide,QX218,median.TOF,-19.1347181535478
etoposide,QX137,median.TOF,-12.0123857348168
etoposide,QX364,median.TOF,3.9934684368334
etoposide,QX171,median.TOF,-56.5993633746165
etoposide,QX112,median.TOF,-9.60734583887555
etoposide,QX250,median.TOF,-28.6241754091392
etoposide,N2,median.TOF,34.7087080026998
etoposide,QX299,median.TOF,10.8635007145191
etoposide,QX311,median.TOF,-22.0108024533782
etoposide,QX358,median.TOF,-17.081796441496
etoposide,QX269,median.TOF,47.9794942673327
etoposide,QX511,median.TOF,17.6896947100804
etoposide,QX174,median.TOF,47.6912551586567
etoposide,QX172,median.TOF,-22.2856897514997
etoposide,QX314,median.TOF,-6.53322317814914
etoposide,QX92,median.TOF,-33.7926195463713
etoposide,QX565,median.TOF,-15.2247144701735
etoposide,QX313,median.TOF,-18.0471463272013
etoposide,QX290,median.TOF,-45.171035489326
etoposide,QX114,median.TOF,13.3946636433054
etoposide,QX76,median.TOF,-46.0188898196265
etoposide,QX72,median.TOF,-23.0695163266737
etoposide,QX304,median.TOF,-29.8546821924879
etoposide,QX448,median.TOF,0.225956581394206
etoposide,QX97,median.TOF,-30.4055168638655
etoposide,QX557,median.TOF,-23.867632498851
etoposide,QX57,median.TOF,18.8551798112674
etoposide,QX534,median.TOF,-13.1862589452892
etoposide,QX468,median.TOF,4.0467538485406
etoposide,CB4856,median.TOF,-21.5603213172537
etoposide,QX243,median.TOF,5.01001150681606
etoposide,QX417,median.TOF,2.87806961949169
etoposide,QX2,median.TOF,-36.60488355129
etoposide,QX503,median.TOF,8.65118372073135
etoposide,QX451,median.TOF,-2.42505400028713
etoposide,QX307,median.TOF,115.537526207518
etoposide,QX453,median.TOF,-26.1261620584579
etoposide,QX416,median.TOF,23.0899885335058
etoposide,QX561,median.TOF,4.52614805267666
etoposide,QX475,median.TOF,15.7691912663594
etoposide,QX77,median.TOF,-6.65731324567523
etoposide,QX437,median.TOF,-2.83000005968628
etoposide,QX382,median.TOF,-2.29534994539153
etoposide,QX482,median.TOF,-55.6410147781429
etoposide,QX352,median.TOF,40.8514289583402
etoposide,QX108,median.TOF,39.417049793645
etoposide,QX132,median.TOF,72.7255147401012
etoposide,QX51,median.TOF,18.4159304089043
etoposide,QX420,median.TOF,-11.6143186525269
etoposide,QX418,median.TOF,17.8915236850904
etoposide,QX426,median.TOF,1.95942876128821
etoposide,QX278,median.TOF,-21.2032783296607
etoposide,QX158,median.TOF,-0.960464310300671
etoposide,QX506,median.TOF,19.6820829820989
etoposide,QX37,median.TOF,-25.6281943735011
etoposide,QX529,median.TOF,-23.3121176990635
etoposide,CB4856,median.TOF,-11.9823767652025
etoposide,QX553,median.TOF,54.8650957375267
etoposide,QX245,median.TOF,42.1511837207314
etoposide,QX487,median.TOF,14.6614153696433
etoposide,QX404,median.TOF,-21.843974229187
etoposide,N2,median.TOF,6.24614336882744
etoposide,QX306,median.TOF,-48.5377060392088
etoposide,QX491,median.TOF,40.1426381337904
etoposide,QX279,median.TOF,35.1453178075121
etoposide,QX153,median.TOF,42.6506917030648
etoposide,QX315,median.TOF,-7.48839347017633
etoposide,QX521,median.TOF,4.00826569205388
etoposide,QX492,median.TOF,13.8831910402697
etoposide,QX402,median.TOF,-30.8816066683517
etoposide,QX192,median.TOF,0.622041559732322
etoposide,QX91,median.TOF,-41.5529294951717
etoposide,QX456,median.TOF,-11.171209152567
etoposide,QX166,median.TOF,-11.7758245505389
etoposide,QX413,median.TOF,-10.2140019962392
etoposide,QX563,median.TOF,-23.546425410362
etoposide,QX15,median.TOF,-23.5761941956956
etoposide,QX49,median.TOF,62.3531703290864
etoposide,QX39,median.TOF,-51.1221985585605
etoposide,QX465,median.TOF,15.3550217219597
etoposide,QX58,median.TOF,-38.3159303685824
etoposide,QX372,median.TOF,-2.73326005711452
etoposide,QX449,median.TOF,-0.0220186865481915
etoposide,QX20,median.TOF,-19.7628389270048
etoposide,QX334,median.TOF,-12.7682010809885
etoposide,QX378,median.TOF,-34.6194288806608
etoposide,QX442,median.TOF,-3.3874215611224
etoposide,QX411,median.TOF,32.828964510674
etoposide,QX497,median.TOF,28.8250010107764
etoposide,QX383,median.TOF,-16.0453177671903
etoposide,QX435,median.TOF,56.4452809285467
etoposide,QX371,median.TOF,9.08527638514551
etoposide,QX540,median.TOF,15.3104164691437
etoposide,QX321,median.TOF,14.2862380955777
etoposide,QX336,median.TOF,3.15118372073136
etoposide,QX333,median.TOF,-25.6035949859484
etoposide,QX444,median.TOF,6.18604648199635
etoposide,QX213,median.TOF,13.3438172303588
etoposide,QX17,median.TOF,11.9658867244107
etoposide,QX270,median.TOF,10.5037390694748
etoposide,QX33,median.TOF,1.50440926101559
etoposide,QX55,median.TOF,1.72394709921326
etoposide,QX432,median.TOF,25.7297894368306
etoposide,QX98,median.TOF,25.3053062410098
etoposide,QX187,median.TOF,-20.7709314800087
etoposide,QX272,median.TOF,-19.2839328068203
etoposide,QX42,median.TOF,-9.46442781019807
etoposide,QX220,median.TOF,-22.5000736000441
etoposide,QX204,median.TOF,4.77435167086689
etoposide,QX332,median.TOF,8.18295024667685
etoposide,QX254,median.TOF,39.6206709918814
etoposide,QX421,median.TOF,-0.0596393841438881
etoposide,QX406,median.TOF,-8.59701989745888
etoposide,QX88,median.TOF,-2.53594183560035
etoposide,QX480,median.TOF,4.29894379949053
etoposide,QX528,median.TOF,-15.1373665500589
etoposide,QX127,median.TOF,-52.2182565070511
etoposide,QX275,median.TOF,-4.51148438648807
etoposide,QX484,median.TOF,-18.4976002211654
etoposide,QX597,median.TOF,2.44012052403925
etoposide,QX75,median.TOF,12.5456462053689
etoposide,QX438,median.TOF,7.78088777562695
etoposide,QX160,median.TOF,-24.4174422723057
etoposide,QX496,median.TOF,24.3101482910915
etoposide,QX520,median.TOF,21.9226748723078
etoposide,QX53,median.TOF,-26.3215326143829
etoposide,QX165,median.TOF,82.4396786827463
etoposide,QX459,median.TOF,24.9947880508532
etoposide,QX476,median.TOF,10.658543522863
etoposide,QX337,median.TOF,18.0402958854181
etoposide,QX452,median.TOF,-17.9550747114704
etoposide,QX397,median.TOF,-66.1862589452891
etoposide,QX554,median.TOF,25.9791235310548
etoposide,QX41,median.TOF,23.1200092446891
etoposide,QX175,median.TOF,-3.23526953929547
etoposide,QX559,median.TOF,-38.4335398344369
etoposide,QX348,median.TOF,41.1130592639
etoposide,CB4856,median.TOF,-27.6833149924966
etoposide,CB4856,median.TOF,-8.22008506706208
etoposide,QX588,median.TOF,-34.9980967494654
etoposide,QX341,median.TOF,-18.9099886336319
etoposide,QX430,median.TOF,-25.4776646168422
etoposide,QX115,median.TOF,-4.07152580885468
etoposide,QX65,median.TOF,-49.9715984743439
etoposide,QX373,median.TOF,35.4457227698397
