condition,strain,trait,phenotype
etoposide,ECA215,median.TOF,16.5080808198038
etoposide,ECA226,median.TOF,-4.11313444085727
etoposide,ECA229,median.TOF,-6.35779168452825
etoposide,ECA216,median.TOF,10.0447325414129
etoposide,CB4856,median.TOF,-29.4736405657045
etoposide,ECA228,median.TOF,-5.71027186330362
etoposide,ECA214,median.TOF,8.89353809876484
etoposide,ECA227,median.TOF,1.88116082804466
etoposide,ECA230,median.TOF,12.2950472698688
etoposide,ECA220,median.TOF,3.20758030524315
etoposide,N2,median.TOF,31.3991955835497
etoposide,ECA219,median.TOF,-15.944581945929
etoposide,ECA215,median.TOF,-6.99191918019538
etoposide,ECA226,median.TOF,5.88686555914273
etoposide,ECA229,median.TOF,-8.35779168452825
etoposide,ECA216,median.TOF,15.5447325414129
etoposide,CB4856,median.TOF,-33.4736405657045
etoposide,ECA228,median.TOF,7.78972813669638
etoposide,ECA214,median.TOF,36.8935380987648
etoposide,ECA227,median.TOF,32.8811608280447
etoposide,ECA230,median.TOF,47.2950472698688
etoposide,ECA220,median.TOF,-17.2924196947569
etoposide,N2,median.TOF,-0.600804416450346
etoposide,ECA219,median.TOF,-2.44458194592899
etoposide,ECA215,median.TOF,26.0080808198046
etoposide,ECA226,median.TOF,8.88686555914273
etoposide,ECA229,median.TOF,6.64220831547175
etoposide,ECA216,median.TOF,17.5447325414129
etoposide,CB4856,median.TOF,-29.9736405657045
etoposide,ECA228,median.TOF,-7.21027186330362
etoposide,ECA214,median.TOF,15.8935380987648
etoposide,ECA227,median.TOF,7.88116082804466
etoposide,ECA230,median.TOF,-8.70495273013125
etoposide,ECA220,median.TOF,-8.29241969475685
etoposide,N2,median.TOF,33.3991955835497
etoposide,ECA219,median.TOF,-1.94458194592899
etoposide,ECA215,median.TOF,-12.4919191801954
etoposide,ECA226,median.TOF,-2.11313444085727
etoposide,ECA229,median.TOF,4.64220831547175
etoposide,ECA216,median.TOF,10.5447325414129
etoposide,CB4856,median.TOF,-8.47364056570447
etoposide,ECA228,median.TOF,-8.71027186330362
etoposide,ECA214,median.TOF,-29.6064619012352
etoposide,ECA227,median.TOF,2.88116082804466
etoposide,ECA230,median.TOF,-11.7049527301312
etoposide,ECA220,median.TOF,-13.2924196947569
etoposide,N2,median.TOF,43.3991955835497
etoposide,ECA219,median.TOF,2.05541805407101
etoposide,ECA215,median.TOF,-5.49191918019538
etoposide,ECA226,median.TOF,-14.1131344408573
etoposide,ECA229,median.TOF,-18.3577916845283
etoposide,ECA216,median.TOF,-39.4552674585871
etoposide,CB4856,median.TOF,-3.47364056570447
etoposide,ECA228,median.TOF,-20.2102718633036
etoposide,ECA214,median.TOF,9.89353809876484
etoposide,ECA227,median.TOF,15.8811608280447
etoposide,ECA230,median.TOF,-0.704952730131247
etoposide,ECA220,median.TOF,-24.2924196947569
etoposide,N2,median.TOF,10.3991955835497
etoposide,ECA219,median.TOF,30.055418054071
etoposide,ECA215,median.TOF,17.5080808198046
etoposide,ECA226,median.TOF,18.8868655591427
etoposide,ECA229,median.TOF,-15.3577916845283
etoposide,ECA216,median.TOF,13.5447325414129
etoposide,CB4856,median.TOF,8.52635943429553
etoposide,ECA228,median.TOF,-19.7102718633036
etoposide,ECA214,median.TOF,5.39353809876484
etoposide,ECA227,median.TOF,21.8811608280447
etoposide,ECA230,median.TOF,0.295047269868753
etoposide,ECA220,median.TOF,-19.2924196947569
etoposide,N2,median.TOF,22.3991955835497
etoposide,ECA219,median.TOF,-6.444581945929
etoposide,ECA215,median.TOF,27.0080808198046
etoposide,ECA226,median.TOF,-37.1131344408573
etoposide,ECA229,median.TOF,15.6422083154717
etoposide,ECA216,median.TOF,18.5447325414129
etoposide,CB4856,median.TOF,-3.47364056570447
etoposide,ECA228,median.TOF,-15.7102718633036
etoposide,ECA214,median.TOF,7.89353809876484
etoposide,ECA227,median.TOF,-19.6188391719553
etoposide,ECA230,median.TOF,4.29504726986875
etoposide,ECA220,median.TOF,-28.2924196947569
etoposide,N2,median.TOF,36.3991955835497
etoposide,ECA219,median.TOF,-13.944581945929
etoposide,ECA215,median.TOF,4.50808081980462
etoposide,ECA226,median.TOF,-22.1131344408573
etoposide,ECA229,median.TOF,-14.3577916845283
etoposide,ECA216,median.TOF,7.54473254141295
etoposide,CB4856,median.TOF,-14.9736405657045
etoposide,ECA228,median.TOF,20.2897281366964
etoposide,ECA214,median.TOF,-8.10646190123516
etoposide,ECA227,median.TOF,-2.11883917195534
etoposide,ECA230,median.TOF,-27.7049527301312
etoposide,ECA220,median.TOF,-1.29241969475685
etoposide,N2,median.TOF,18.8991955835497
etoposide,ECA219,median.TOF,26.055418054071
etoposide,ECA215,median.TOF,-3.49191918019538
etoposide,ECA226,median.TOF,9.88686555914273
etoposide,ECA229,median.TOF,-14.3577916845283
etoposide,ECA216,median.TOF,20.5447325414129
etoposide,CB4856,median.TOF,-20.4736405657045
etoposide,ECA228,median.TOF,-8.71027186330362
etoposide,ECA214,median.TOF,27.8935380987648
etoposide,ECA227,median.TOF,-10.1188391719553
etoposide,ECA230,median.TOF,-5.70495273013125
etoposide,ECA220,median.TOF,-24.2924196947569
etoposide,N2,median.TOF,11.3991955835497
etoposide,ECA219,median.TOF,7.555418054071
etoposide,ECA215,median.TOF,2.00808081980462
