"","NAME"
"1","srd-29"
"2",NA
"3","srd-25"
"4","mig-6"
"5","folt-3"
"6","clec-45"
"7","str-47"
"8","srb-18"
"9","clec-214"
"10","str-31"
"11","str-136"
"12","stdh-4"
"13","scl-26"
"14","F07C4.12"
"15","grsp-4"
"16","srh-234"
"17","symk-1"
"18","frpr-12"
"19","clec-215"
"20","srd-30"
"21","srh-200"
"22","C37C3.1"
"23","srd-31"
"24","nhx-3"
"25","frpr-3"
"26","phf-30"
"27","srh-188"
"28","cyp-33A1"
"29","clec-218"
"30","linc-31"
"31","F19F10.11"
"32","ets-6"
"33","clec-46"
"34","clic-1"
"35","srh-267"
"36","srb-19"
"37","nhr-171"
"38","str-147"
"39","pxn-1"
"40","srw-3"
"41","srh-268"
"42","sre-11"
"43","D1014.7"
"44","srsx-5"
"45","vha-18"
"46","ZC196.9"
"47","clec-212"
"48","srbc-11"
"49","his-7"
"50","hint-3"
"51","srsx-40"
"52","nhr-152"
"53","otpl-6"
"54","cyp-32A1"
"55","glr-5"
"56","srp-7"
"57","ZC190.10"
"58","nhr-94"
"59","gck-1"
"60","srh-221"
"61","T19A5.3"
"62","grl-10"
