"","NAME"
"1","mab-23"
"2","tftc-3"
"3",NA
"4","cutl-18"
"5","lig-1"
"6","clh-6"
"7","nhr-207"
"8","srsx-27"
"9","nrx-1"
"10","fig-1"
"11","srj-34"
"12","col-149"
"13","dvc-1"
"14","mans-2"
"15","ceh-22"
"16","vps-54"
"17","aqp-6"
"18","sma-1"
"19","D1054.9"
"20","C29A12.6"
"21","nas-16"
"22","abu-1"
"23","F07B10.7"
"24","col-153"
"25","pqn-2"
"26","T04F3.1"
"27","srx-88"
"28","R07B7.6"
"29","jmjd-5"
"30","duo-1"
"31","secs-1"
"32","sas-5"
"33","H27A22.1"
"34","nas-20"
"35","F55A11.4"
"36","ugt-2"
"37","egl-9"
"38","C32C4.1"
"39","srx-87"
"40","hmp-1"
"41","lys-1"
"42","nphp-4"
"43","ttll-5"
"44","pyc-1"
"45","nhr-154"
"46","gly-20"
"47","anr-15"
"48","linc-153"
"49","crm-1"
"50","spe-42"
"51","ugt-33"
"52","C08B6.4"
"53","srj-22"
"54","col-155"
"55","str-118"
"56","T11F9.21"
"57","ttll-15"
"58","che-12"
"59","aat-6"
"60","gana-1"
"61","ceh-75"
"62","srx-72"
"63","srh-163"
"64","col-148"
"65","col-150"
"66","srh-9"
"67","lea-1"
"68","F55A11.8"
"69","srx-85"
"70","cnc-10"
"71","F17C11.11"
"72","nhr-136"
"73","col-12"
"74","sel-11"
"75","cyp-29A2"
"76","mpst-1"
"77","sipa-1"
"78","zip-9"
"79","R07B7.2"
"80","col-13"
"81","srj-21"
"82","hpo-40"
"83","unc-41"
"84","srg-42"
"85","srx-82"
"86","F32D8.12"
"87","daf-11"
"88","dmsr-8"
"89","gcy-33"
"90","D2023.1"
"91","snf-10"
"92","lgc-44"
"93","ZK856.4"
"94","srsx-29"
"95","srx-90"
"96","sri-18"
"97","add-2"
