snps	position	window	Td	swindow	ewindow	midwindow
1	3437765	1	-1.87915515774959	3437765	3445893	3441829
2	3437947	2	-1.84664654482206	3437947	3445916	3441931.5
3	3438038	3	-1.794676012847	3438038	3445935	3441986.5
4	3438105	4	-1.79027906076589	3438105	3446019	3442062
5	3438121	5	-1.77946688351727	3438121	3446024	3442072.5
6	3438285	6	-1.74847197540454	3438285	3446031	3442158
7	3438542	7	-1.72450498250342	3438542	3446039	3442290.5
8	3438625	8	-1.73171310066917	3438625	3446053	3442339
9	3438665	9	-1.73171310066917	3438665	3446085	3442375
10	3438723	10	-1.73171310066917	3438723	3446097	3442410
11	3438738	11	-1.73171310066917	3438738	3446098	3442418
12	3438830	12	-1.78940207305572	3438830	3446126	3442478
13	3438883	13	-1.70968028614253	3438883	3446129	3442506
14	3438887	14	-1.63049910809177	3438887	3446131	3442509
15	3438954	15	-1.69474746800915	3438954	3446357	3442655.5
16	3439014	16	-1.69474746800915	3439014	3446358	3442686
17	3439052	17	-1.68159265235666	3439052	3446458	3442755
18	3439137	18	-1.68886083817379	3439137	3446496	3442816.5
19	3439138	19	-1.68159265235666	3439138	3446609	3442873.5
20	3439149	20	-1.67432446653953	3439149	3446611	3442880
21	3439185	21	-1.67284680231555	3439185	3446656	3442920.5
22	3439243	22	-1.63800756451442	3439243	3446716	3442979.5
23	3439441	23	-1.66527827824151	3439441	3446723	3443082
24	3439492	24	-1.65943970252725	3439492	3446732	3443112
25	3439502	25	-1.65360112681299	3439502	3446733	3443117.5
26	3439523	26	-1.65360112681299	3439523	3446735	3443129
27	3439555	27	-1.65215950317984	3439555	3446744	3443149.5
28	3439585	28	-1.64067456823575	3439585	3446857	3443221
29	3439609	29	-1.60384108440877	3439609	3446992	3443300.5
30	3439622	30	-1.62860097030812	3439622	3447004	3443313
31	3439662	31	-1.60384108440877	3439662	3447017	3443339.5
32	3439735	32	-1.61670757533463	3439735	3447082	3443408.5
33	3439822	33	-1.62819251027873	3439822	3447090	3443456
34	3439829	34	-1.60927120009363	3439829	3447216	3443522.5
35	3439887	35	-1.58451131419428	3439887	3447360	3443623.5
36	3439911	36	-1.56282689204565	3439911	3447506	3443708.5
37	3439986	37	-1.49105806217533	3439986	3447523	3443754.5
38	3439993	38	-1.49105806217533	3439993	3447712	3443852.5
39	3439994	39	-1.41133627526214	3439994	3447812	3443903
40	3440025	40	-1.41133627526214	3440025	3447818	3443921.5
41	3440029	41	-1.38657638936279	3440029	3448073	3444051
42	3440035	42	-1.38657638936279	3440035	3450586	3445310.5
43	3440045	43	-1.39384457517992	3440045	3451556	3445800.5
44	3440248	44	-1.48354960575268	3440248	3451587	3445917.5
45	3440300	45	-1.50247091593777	3440300	3451702	3446001
46	3440668	46	-1.50247091593777	3440668	3451859	3446263.5
47	3440829	47	-1.42328973788701	3440829	3451874	3446351.5
48	3440845	48	-1.43888330018558	3440845	3451910	3446377.5
49	3441096	49	-1.42560834923032	3441096	3451952	3446524
50	3441127	50	-1.42560834923032	3441127	3451970	3446548.5
51	3441267	51	-1.42560834923032	3441267	3451971	3446619
52	3441305	52	-1.36823172863095	3441305	3452155	3446730
53	3441392	53	-1.36528841371327	3441392	3452272	3446832
54	3441445	54	-1.34052852781392	3441445	3452279	3446862
55	3441665	55	-1.35242192278741	3441665	3452291	3446978
56	3441883	56	-1.35094425856343	3441883	3452310	3447096.5
57	3442138	57	-1.36103562399548	3442138	3452380	3447259
58	3442276	58	-1.36103562399548	3442276	3452520	3447398
59	3442318	59	-1.36397893891316	3442318	3452559	3447438.5
60	3442363	60	-1.36397893891316	3442363	3452677	3447520
61	3442547	61	-1.35838063380443	3442547	3452735	3447641
62	3442673	62	-1.27919945575366	3442673	3452744	3447708.5
63	3442694	63	-1.27480250367256	3442694	3452760	3447727
64	3442706	64	-1.27480250367256	3442706	3452866	3447786
65	3442758	65	-1.27480250367256	3442758	3452882	3447820
66	3442830	66	-1.27480250367256	3442830	3452909	3447869.5
67	3442866	67	-1.3033106110181	3442866	3452912	3447889
68	3443249	68	-1.22412943296733	3443249	3452962	3448105.5
69	3443327	69	-1.21973248088623	3443327	3452980	3448153.5
70	3443342	70	-1.21973248088623	3443342	3453039	3448190.5
71	3443354	71	-1.23121741583032	3443354	3453162	3448258
72	3443412	72	-1.25723872240868	3443412	3453177	3448294.5
73	3443456	73	-1.18389612007217	3443456	3453198	3448327
74	3443463	74	-1.15416263263845	3443463	3453210	3448336.5
75	3443508	75	-1.19099611646544	3443508	3453320	3448414
76	3443608	76	-1.2031057549839	3443608	3453384	3448496
77	3443619	77	-1.19892504644776	3443619	3453418	3448518.5
78	3443624	78	-1.19892504644776	3443624	3453510	3448567
79	3443643	79	-1.19892504644776	3443643	3453523	3448583
80	3443649	80	-1.19892504644776	3443649	3453642	3448645.5
81	3443848	81	-1.20476362216202	3443848	3453685	3448766.5
82	3443866	82	-1.26477120589189	3443866	3453721	3448793.5
83	3443959	83	-1.26477120589189	3443959	3453739	3448849
84	3444218	84	-1.26329354166791	3444218	3453883	3449050.5
85	3444259	85	-1.22263975521308	3444259	3453983	3449121
86	3444444	86	-1.22263975521308	3444444	3454049	3449246.5
87	3444466	87	-1.15679359576895	3444466	3454071	3449268.5
88	3444576	88	-1.14804774572784	3444576	3454106	3449341
89	3444740	89	-1.14220917001358	3444740	3454257	3449498.5
90	3444783	90	-1.16823047659194	3444783	3454333	3449558
91	3444806	91	-1.19299036249129	3444806	3454361	3449583.5
92	3445061	92	-1.17208681981062	3445061	3454408	3449734.5
93	3445083	93	-1.2497903336374	3445083	3454787	3449935
94	3445197	94	-1.21527546115374	3445197	3454912	3450054.5
95	3445754	95	-1.19051557525439	3445754	3454928	3450341
96	3445763	96	-1.19051557525439	3445763	3455797	3450780
97	3445764	97	-1.16449426867603	3445764	3455823	3450793.5
98	3445835	98	-1.07287908678935	3445835	3455824	3450829.5
99	3445861	99	-1.07287908678935	3445861	3455830	3450845.5
100	3445893	100	-0.98800349538764	3445893	3455850	3450871.5
101	3445916	101	-0.98800349538764	3445916	3455878	3450897
102	3445935	102	-1.05237199060779	3445935	3455885	3450910
103	3446019	103	-1.13904961155093	3446019	3456000	3451009.5
104	3446024	104	-1.11868667773269	3446024	3456039	3451031.5
105	3446031	105	-1.12701205421413	3446031	3456121	3451076
106	3446039	106	-1.16384553804111	3446039	3456184	3451111.5
107	3446053	107	-1.11796586591611	3446053	3456247	3451150
108	3446085	108	-1.11944353014009	3446085	3456248	3451166.5
109	3446097	109	-1.09468364424074	3446097	3456358	3451227.5
110	3446098	110	-1.09468364424074	3446098	3456511	3451304.5
111	3446126	111	-1.09468364424074	3446126	3456521	3451323.5
112	3446129	112	-1.01867403818291	3446129	3456631	3451380
113	3446131	113	-1.09255724938184	3446131	3456651	3451391
114	3446357	114	-1.17173842743261	3446357	3456847	3451602
115	3446358	115	-1.15887193650674	3446358	3456882	3451620
116	3446458	116	-1.15447498442564	3446458	3456887	3451672.5
117	3446496	117	-1.10024590875864	3446496	3456888	3451692
118	3446609	118	-1.09584895667754	3446609	3457181	3451895
119	3446611	119	-1.07835725659532	3446611	3457254	3451932.5
120	3446656	120	-1.08562544241245	3446656	3457325	3451990.5
121	3446716	121	-1.07423661571056	3446716	3457410	3452063
122	3446723	122	-1.0971824585382	3446723	3457604	3452163.5
123	3446732	123	-1.09134388282394	3446732	3457605	3452168.5
124	3446733	124	-1.09278550645709	3446733	3457611	3452172
125	3446735	125	-1.09862408217135	3446735	3457652	3452193.5
126	3446744	126	-1.10446265788561	3446744	3457683	3452213.5
127	3446857	127	-1.11030123359986	3446857	3457800	3452328.5
128	3446992	128	-1.03035118961142	3446992	3457842	3452417
129	3447004	129	-1.0671846734384	3447004	3457845	3452424.5
130	3447017	130	-1.0671846734384	3447017	3457857	3452437
131	3447082	131	-1.07907806841189	3447082	3457858	3452470
