Population	WindowPosition	statistic	value	f_stats
A	3441127	Tajima.D	-1.67057455827819	Tajima's D
A	3441267	Tajima.D	-1.63611224715614	Tajima's D
A	3441305	Tajima.D	-1.58048350547796	Tajima's D
A	3441392	Tajima.D	-1.57582230596921	Tajima's D
A	3441445	Tajima.D	-1.5643603399641	Tajima's D
A	3441665	Tajima.D	-1.53150270408276	Tajima's D
A	3441883	Tajima.D	-1.50609534610474	Tajima's D
A	3442138	Tajima.D	-1.51373665677482	Tajima's D
A	3442276	Tajima.D	-1.51373665677482	Tajima's D
A	3442318	Tajima.D	-1.51373665677482	Tajima's D
A	3442363	Tajima.D	-1.51373665677482	Tajima's D
A	3442547	Tajima.D	-1.57489261317102	Tajima's D
A	3442673	Tajima.D	-1.49009794382899	Tajima's D
A	3442694	Tajima.D	-1.40615814611817	Tajima's D
A	3442706	Tajima.D	-1.47426769522414	Tajima's D
A	3442758	Tajima.D	-1.47426769522414	Tajima's D
A	3442830	Tajima.D	-1.46032230325125	Tajima's D
A	3442866	Tajima.D	-1.46802729151025	Tajima's D
A	3443249	Tajima.D	-1.46032230325125	Tajima's D
A	3443327	Tajima.D	-1.45261731499225	Tajima's D
A	3443342	Tajima.D	-1.45105084630489	Tajima's D
A	3443354	Tajima.D	-1.41411784473284	Tajima's D
A	3443412	Tajima.D	-1.4430274701013	Tajima's D
A	3443456	Tajima.D	-1.43683800845854	Tajima's D
A	3443463	Tajima.D	-1.43064854681578	Tajima's D
A	3443508	Tajima.D	-1.43064854681578	Tajima's D
A	3443608	Tajima.D	-1.42912028468176	Tajima's D
A	3443619	Tajima.D	-1.41694512968077	Tajima's D
A	3443624	Tajima.D	-1.37789803215667	Tajima's D
A	3443643	Tajima.D	-1.40414593430839	Tajima's D
A	3443649	Tajima.D	-1.37789803215667	Tajima's D
A	3443848	Tajima.D	-1.39153777170276	Tajima's D
A	3443866	Tajima.D	-1.40371292670375	Tajima's D
A	3443959	Tajima.D	-1.38365448619479	Tajima's D
A	3444218	Tajima.D	-1.35740658404307	Tajima's D
A	3444259	Tajima.D	-1.33441897444392	Tajima's D
A	3444444	Tajima.D	-1.25623085495206	Tajima's D
A	3444466	Tajima.D	-1.25623085495206	Tajima's D
A	3444576	Tajima.D	-1.17171795894099	Tajima's D
A	3444740	Tajima.D	-1.17171795894099	Tajima's D
A	3444783	Tajima.D	-1.14547005678926	Tajima's D
A	3444806	Tajima.D	-1.14547005678926	Tajima's D
A	3445061	Tajima.D	-1.15317504504826	Tajima's D
A	3445083	Tajima.D	-1.24827115633739	Tajima's D
A	3445197	Tajima.D	-1.26832959684635	Tajima's D
A	3445754	Tajima.D	-1.26832959684635	Tajima's D
A	3445763	Tajima.D	-1.18438979913553	Tajima's D
A	3445764	Tajima.D	-1.20092050121847	Tajima's D
A	3445835	Tajima.D	-1.18684775406774	Tajima's D
A	3445861	Tajima.D	-1.18684775406774	Tajima's D
A	3445893	Tajima.D	-1.18684775406774	Tajima's D
A	3445916	Tajima.D	-1.12602292113391	Tajima's D
A	3445935	Tajima.D	-1.12290271927696	Tajima's D
A	3446019	Tajima.D	-1.09665481712524	Tajima's D
A	3446024	Tajima.D	-1.10926297973087	Tajima's D
A	3446031	Tajima.D	-1.10769651104351	Tajima's D
A	3446039	Tajima.D	-1.11839434598162	Tajima's D
A	3446053	Tajima.D	-1.11839434598162	Tajima's D
A	3446085	Tajima.D	-1.12151454783857	Tajima's D
A	3446097	Tajima.D	-1.12151454783857	Tajima's D
A	3446098	Tajima.D	-1.11557979655147	Tajima's D
A	3446126	Tajima.D	-1.03163999884066	Tajima's D
A	3446129	Tajima.D	-1.02697879933191	Tajima's D
A	3446131	Tajima.D	-1.02697879933191	Tajima's D
A	3446357	Tajima.D	-1.02697879933191	Tajima's D
A	3446358	Tajima.D	-1.02697879933191	Tajima's D
A	3446458	Tajima.D	-1.05720018303207	Tajima's D
A	3446496	Tajima.D	-0.973260385321253	Tajima's D
A	3446609	Tajima.D	-0.968599185812505	Tajima's D
A	3446611	Tajima.D	-0.968599185812505	Tajima's D
A	3446656	Tajima.D	-0.980774340813498	Tajima's D
A	3446716	Tajima.D	-1.00835947233248	Tajima's D
A	3446723	Tajima.D	-0.93060913626443	Tajima's D
A	3446732	Tajima.D	-0.899088729750354	Tajima's D
A	3446733	Tajima.D	-0.938135827274457	Tajima's D
A	3446735	Tajima.D	-0.95097322920019	Tajima's D
A	3446744	Tajima.D	-0.946541269011544	Tajima's D
A	3446857	Tajima.D	-0.946541269011544	Tajima's D
A	3446992	Tajima.D	-0.946541269011544	Tajima's D
A	3447004	Tajima.D	-0.946541269011544	Tajima's D
A	3447017	Tajima.D	-0.952730730654308	Tajima's D
A	3447082	Tajima.D	-1.01634464198271	Tajima's D
A	3447090	Tajima.D	-1.01634464198271	Tajima's D
A	3447216	Tajima.D	-1.01477817329535	Tajima's D
A	3447360	Tajima.D	-0.971681181116104	Tajima's D
A	3447506	Tajima.D	-0.971681181116104	Tajima's D
A	3447523	Tajima.D	-0.901877808144933	Tajima's D
A	3447712	Tajima.D	-0.891967983369675	Tajima's D
A	3447812	Tajima.D	-0.885778521726911	Tajima's D
A	3447818	Tajima.D	-0.913363653245895	Tajima's D
A	3448073	Tajima.D	-0.939611555397616	Tajima's D
A	3450586	Tajima.D	-0.917451754454388	Tajima's D
A	3451556	Tajima.D	-0.999825083477838	Tajima's D
A	3451587	Tajima.D	-0.961387698867618	Tajima's D
A	3451702	Tajima.D	-0.935139796715897	Tajima's D
A	3451859	Tajima.D	-0.935139796715897	Tajima's D
A	3451874	Tajima.D	-0.907554665196912	Tajima's D
A	3451910	Tajima.D	-0.81043360658021	Tajima's D
A	3451952	Tajima.D	-0.81043360658021	Tajima's D
A	3451970	Tajima.D	-0.720457173440031	Tajima's D
A	3451971	Tajima.D	-0.720457173440031	Tajima's D
A	3452155	Tajima.D	-0.788694077723836	Tajima's D
A	3452272	Tajima.D	-0.88051875288234	Tajima's D
A	3452279	Tajima.D	-0.858932050239367	Tajima's D
A	3452291	Tajima.D	-0.867757764063308	Tajima's D
A	3452310	Tajima.D	-0.906804861587411	Tajima's D
A	3452380	Tajima.D	-0.858167919172359	Tajima's D
A	3452520	Tajima.D	-0.859734387859725	Tajima's D
A	3452559	Tajima.D	-0.833486485708004	Tajima's D
A	3452677	Tajima.D	-0.833486485708004	Tajima's D
A	3452735	Tajima.D	-0.833486485708004	Tajima's D
A	3452744	Tajima.D	-0.752908864692022	Tajima's D
A	3452760	Tajima.D	-0.83151407239129	Tajima's D
A	3452866	Tajima.D	-0.915453870102107	Tajima's D
A	3452882	Tajima.D	-0.901814130556016	Tajima's D
A	3452909	Tajima.D	-0.897152931047268	Tajima's D
A	3452912	Tajima.D	-0.839664803772708	Tajima's D
A	3452962	Tajima.D	-0.835003604263959	Tajima's D
A	3452980	Tajima.D	-0.816460690371235	Tajima's D
A	3453039	Tajima.D	-0.824165678630231	Tajima's D
A	3453162	Tajima.D	-0.812092407771506	Tajima's D
A	3453177	Tajima.D	-0.836417246737924	Tajima's D
A	3453198	Tajima.D	-0.83022778509516	Tajima's D
A	3453210	Tajima.D	-0.831756047229176	Tajima's D
A	3453320	Tajima.D	-0.83794550887194	Tajima's D
A	3453384	Tajima.D	-0.844134970514704	Tajima's D
A	3453418	Tajima.D	-0.850324432157468	Tajima's D
A	3453510	Tajima.D	-0.765569561308509	Tajima's D
A	3453523	Tajima.D	-0.804616658832613	Tajima's D
A	3453642	Tajima.D	-0.804616658832613	Tajima's D
A	3453685	Tajima.D	-0.817224821438243	Tajima's D
A	3453721	Tajima.D	-0.803585081892152	Tajima's D
A	3453739	Tajima.D	-0.789945342346061	Tajima's D
A	3453883	Tajima.D	-0.816193244497782	Tajima's D
A	3453983	Tajima.D	-0.842441146649503	Tajima's D
A	3454049	Tajima.D	-0.893013887767642	Tajima's D
A	3454071	Tajima.D	-0.989867500510891	Tajima's D
A	3454106	Tajima.D	-0.989867500510891	Tajima's D
A	3454257	Tajima.D	-1.04679526500298	Tajima's D
A	3454333	Tajima.D	-1.04679526500298	Tajima's D
A	3454361	Tajima.D	-1.06685370551194	Tajima's D
A	3454408	Tajima.D	-1.06685370551194	Tajima's D
A	3454787	Tajima.D	-1.06528723682457	Tajima's D
A	3454912	Tajima.D	-1.06528723682457	Tajima's D
A	3454928	Tajima.D	-1.07147669846733	Tajima's D
A	3455797	Tajima.D	-1.06991022977997	Tajima's D
A	3455823	Tajima.D	-1.15385002749078	Tajima's D
A	3455824	Tajima.D	-1.12760212533906	Tajima's D
A	3455830	Tajima.D	-1.14766056584802	Tajima's D
A	3455850	Tajima.D	-1.14766056584802	Tajima's D
A	3455878	Tajima.D	-1.14147110420526	Tajima's D
A	3455885	Tajima.D	-1.20229593713908	Tajima's D
A	3456000	Tajima.D	-1.10848611314608	Tajima's D
A	3456039	Tajima.D	-1.05079421758699	Tajima's D
A	3456121	Tajima.D	-1.06443395713308	Tajima's D
A	3456184	Tajima.D	-1.06600042582044	Tajima's D
A	3456247	Tajima.D	-1.03577904212028	Tajima's D
A	3456248	Tajima.D	-0.965975669149111	Tajima's D
A	3456358	Tajima.D	-0.964409200461745	Tajima's D
A	3456511	Tajima.D	-0.964409200461745	Tajima's D
A	3456521	Tajima.D	-0.89410914229702	Tajima's D
A	3456631	Tajima.D	-0.951801037856115	Tajima's D
A	3456651	Tajima.D	-0.954895768677497	Tajima's D
A	3456847	Tajima.D	-0.954895768677497	Tajima's D
A	3456882	Tajima.D	-0.954895768677497	Tajima's D
A	3456887	Tajima.D	-0.953329299990131	Tajima's D
A	3456888	Tajima.D	-0.953329299990131	Tajima's D
A	3457181	Tajima.D	-1.00574869118687	Tajima's D
A	3457254	Tajima.D	-0.995318302122214	Tajima's D
A	3457325	Tajima.D	-0.995318302122214	Tajima's D
A	3457410	Tajima.D	-0.995318302122214	Tajima's D
A	3457604	Tajima.D	-0.995318302122214	Tajima's D
A	3457605	Tajima.D	-1.04021100230893	Tajima's D
A	3457611	Tajima.D	-1.07016494013564	Tajima's D
A	3457652	Tajima.D	-1.07016494013564	Tajima's D
A	3457683	Tajima.D	-1.08086277507375	Tajima's D
A	3457800	Tajima.D	-1.09450251461984	Tajima's D
A	3457842	Tajima.D	-1.08831305297707	Tajima's D
A	3457845	Tajima.D	-1.06477781611323	Tajima's D
A	3457857	Tajima.D	-1.06477781611323	Tajima's D
A	3457858	Tajima.D	-0.967924203369981	Tajima's D
A	3457859	Tajima.D	-0.877260052269496	Tajima's D
A	3457867	Tajima.D	-0.863620312723405	Tajima's D
A	3457876	Tajima.D	-0.840288844144097	Tajima's D
A	3457879	Tajima.D	-0.922432933847445	Tajima's D
A	3457928	Tajima.D	-0.837920037836373	Tajima's D
A	3458042	Tajima.D	-0.907723410807544	Tajima's D
A	3458118	Tajima.D	-0.90582741059753	Tajima's D
A	3458283	Tajima.D	-0.912016872240294	Tajima's D
A	3458601	Tajima.D	-0.912016872240294	Tajima's D
A	3458808	Tajima.D	-0.912016872240294	Tajima's D
A	3458864	Tajima.D	-0.837323060440273	Tajima's D
A	3458893	Tajima.D	-0.83576932727069	Tajima's D
A	3458953	Tajima.D	-0.871086510023961	Tajima's D
A	3458977	Tajima.D	-0.802391127099952	Tajima's D
A	3459208	Tajima.D	-0.796964204584473	Tajima's D
A	3459287	Tajima.D	-0.816844347844462	Tajima's D
A	3459305	Tajima.D	-0.898873817887758	Tajima's D
A	3459400	Tajima.D	-0.897307349200392	Tajima's D
A	3459520	Tajima.D	-0.903343984629754	Tajima's D
A	3459540	Tajima.D	-0.806413958779804	Tajima's D
A	3459596	Tajima.D	-0.711215963348405	Tajima's D
A	3459871	Tajima.D	-0.709687701214389	Tajima's D
A	3459914	Tajima.D	-0.73593560336611	Tajima's D
A	3460046	Tajima.D	-0.746786264517622	Tajima's D
A	3460055	Tajima.D	-0.742125065008874	Tajima's D
A	3460137	Tajima.D	-0.825147905439281	Tajima's D
A	3460166	Tajima.D	-0.754516723812185	Tajima's D
A	3460185	Tajima.D	-0.753179494444921	Tajima's D
A	3460219	Tajima.D	-0.753179494444921	Tajima's D
A	3460354	Tajima.D	-0.745474506185925	Tajima's D
A	3460414	Tajima.D	-0.827618595889273	Tajima's D
A	3460431	Tajima.D	-0.833808057532037	Tajima's D
A	3460437	Tajima.D	-0.740202001823571	Tajima's D
A	3460438	Tajima.D	-0.753841741369661	Tajima's D
A	3460588	Tajima.D	-0.75850294087841	Tajima's D
A	3460647	Tajima.D	-0.838915000163206	Tajima's D
A	3460672	Tajima.D	-0.81867826240528	Tajima's D
A	3460746	Tajima.D	-0.838736702914238	Tajima's D
A	3461126	Tajima.D	-0.838736702914238	Tajima's D
A	3461222	Tajima.D	-0.850809973772962	Tajima's D
A	3461241	Tajima.D	-0.846836492224521	Tajima's D
A	3461278	Tajima.D	-0.853025953867285	Tajima's D
A	3461320	Tajima.D	-0.857687153376033	Tajima's D
A	3461391	Tajima.D	-0.849982165117037	Tajima's D
A	3461566	Tajima.D	-0.777733572731441	Tajima's D
A	3461605	Tajima.D	-0.767035737793331	Tajima's D
A	3461793	Tajima.D	-0.863965763643281	Tajima's D
A	3461872	Tajima.D	-0.833744379943119	Tajima's D
A	3461896	Tajima.D	-0.833744379943119	Tajima's D
A	3462029	Tajima.D	-0.764628724932256	Tajima's D
A	3462039	Tajima.D	-0.77670199579098	Tajima's D
A	3462051	Tajima.D	-0.790341735337071	Tajima's D
A	3462153	Tajima.D	-0.788775266649705	Tajima's D
A	3462179	Tajima.D	-0.788775266649705	Tajima's D
A	3462189	Tajima.D	-0.75725486013563	Tajima's D
A	3462283	Tajima.D	-0.660974345692636	Tajima's D
A	3462333	Tajima.D	-0.578218951135682	Tajima's D
