Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	OptFreq	Zmax	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00007063	II:1866-4663	204	18	18	0.019608	614.158	10000	2202	614.158	1000	0	0.454133	II	1866	4663	2797	FALSE
WBGene00007064	II:15268211-15273314,II:15268211-15275689	204	53	53	0.014706	601.672	10000	2317	601.672	1000	0	0.431593	II	15268211	15273314	5103	FALSE
WBGene00007065	III:13780227-13781133,III:13780219-13781133	204	5	4	0.004902	823.887	10000	8605	823.887	1000	0	0.116212	III	13780227	13781133	906	FALSE
WBGene00003525	IV:17486981-17490497,IV:17486981-17488295	204	22	22	0.004902	188.061	10000	1042	188.061	1000	0	0.959693	IV	17486981	17490497	3516	FALSE
WBGene00007067	IV:17480395-17483330,IV:17480395-17482329	204	26	26	0.007353	82.0919	10000	1015	82.0919	1000	0	0.985222	IV	17480395	17483330	2935	FALSE
WBGene00005532	V:10368555-10369868	204	8	8	0.009804	2057.89	10000	10000	2057.89	9	0	9e-04	V	10368555	10369868	1313	FALSE
WBGene00004964	V:10384156-10385711	204	10	9	0.014706	911.207	10000	10000	911.207	913	0	0.0913	V	10384156	10385711	1555	FALSE
WBGene00007070	V:10372140-10374261	204	20	20	0.019608	1034.35	10000	10000	1034.35	886	0	0.0886	V	10372140	10374261	2121	FALSE
WBGene00004098	V:10382441-10383976	204	2	2	0.004902	411.858	10000	1801	411.858	997	3	0.554414	V	10382441	10383976	1535	FALSE
WBGene00007071	V:10388514-10393503,V:10388469-10393503,V:10388469-10393503	204	20	20	0.029412	498.535	10000	1804	498.535	1000	0	0.554324	V	10388514	10393503	4989	FALSE
WBGene00000724	V:10393530-10395232	204	7	6	0.014706	652.788	10000	3832	652.788	1000	0	0.26096	V	10393530	10395232	1702	FALSE
WBGene00007072	V:10395676-10397817	204	9	9	0.004902	1060.77	10000	10000	1060.77	552	0	0.0552	V	10395676	10397817	2141	FALSE
WBGene00007073	V:10398809-10401313	204	11	11	0.004902	651.603	10000	2875	651.603	1000	0	0.347826	V	10398809	10401313	2504	FALSE
WBGene00006428	IV:5112928-5122019,IV:5112928-5122019	204	71	71	0.046263	609.174	10000	3994	609.174	1000	0	0.250376	IV	5112928	5122019	9091	FALSE
WBGene00004929	IV:5127005-5133857,IV:5127005-5134060,IV:5127005-5145810,IV:5127005-5152485,IV:5127005-5149537	204	201	201	0.007353	403.917	10000	2060	403.917	1000	0	0.485437	IV	5127005	5133857	6852	FALSE
WBGene00014997	IV:5111838-5112875	204	7	7	0.041667	269.94	10000	1582	269.94	1000	0	0.632111	IV	5111838	5112875	1037	FALSE
WBGene00007082	V:14146508-14148784	204	12	12	0.004902	308.753	10000	1315	308.753	1000	0	0.760456	V	14146508	14148784	2276	FALSE
WBGene00007083	V:14156830-14157622	204	7	7	0.029412	203.383	10000	1097	203.383	1000	0	0.911577	V	14156830	14157622	792	FALSE
WBGene00007084	V:14144029-14145411	204	11	11	0.036542	439.721	10000	1676	439.721	1000	0	0.596659	V	14144029	14145411	1382	FALSE
WBGene00001528	II:9512489-9516936	204	26	26	0.009804	623.429	10000	3858	623.429	1000	0	0.259202	II	9512489	9516936	4447	FALSE
WBGene00005032	II:9548404-9549698	204	7	7	0.046667	285.245	10000	1165	285.245	1000	0	0.858369	II	9548404	9549698	1294	FALSE
