marker	chr	pos	trait	lod	threshold	iteration	var_exp	eff_size	ci_l_marker	ci_l_pos	ci_r_marker	ci_r_pos
CE1-105	I	39041	.mean.norm.EXT	0.234032653629062	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-501	I	55881	.mean.norm.EXT	0.234032653629062	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-1	I	134126	.mean.norm.EXT	0.234032653629062	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-515	I	183575	.mean.norm.EXT	0.234032653629062	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-526	I	303835	.mean.norm.EXT	0.234032653629062	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-106	I	470143	.mean.norm.EXT	0.3200401168033	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-542	I	491763	.mean.norm.EXT	0.3200401168033	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-107	I	562689	.mean.norm.EXT	0.3200401168033	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-557	I	637474	.mean.norm.EXT	0.3200401168033	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-574	I	796692	.mean.norm.EXT	0.393633640244017	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-27	I	825026	.mean.norm.EXT	0.376955874439355	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-159	I	884389	.mean.norm.EXT	0.214112267080641	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-101	I	984038	.mean.norm.EXT	0.555954811283726	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-244	I	990149	.mean.norm.EXT	0.555954811283726	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-102	I	1079163	.mean.norm.EXT	0.295191246621349	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-103	I	1130936	.mean.norm.EXT	0.178804264487197	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-249	I	1265968	.mean.norm.EXT	0.249466422539315	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-104	I	1272590	.mean.norm.EXT	0.275873930630168	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-250	I	1433303	.mean.norm.EXT	0.30856214082384	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-237	I	1451409	.mean.norm.EXT	0.217923713968399	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-108	I	1452096	.mean.norm.EXT	0.217923713968399	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-252	I	1563140	.mean.norm.EXT	0.142034774215663	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-172	I	1644596	.mean.norm.EXT	0.0137018992325505	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-610	I	1644910	.mean.norm.EXT	0.0137018992325505	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-616	I	1661176	.mean.norm.EXT	0.0137018992325505	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-620	I	1823873	.mean.norm.EXT	0.158289301183793	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-624	I	2068166	.mean.norm.EXT	0.099553065494185	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-628	I	2162879	.mean.norm.EXT	0.138355809279793	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-242	I	2310074	.mean.norm.EXT	0.247422497431657	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-240	I	2318112	.mean.norm.EXT	0.247422497431657	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-238	I	2318439	.mean.norm.EXT	0.247422497431657	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-253	I	2448168	.mean.norm.EXT	0.111746998338685	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-652	I	2448380	.mean.norm.EXT	0.111746998338685	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-667	I	2538741	.mean.norm.EXT	0.123680783628286	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-682	I	2590695	.mean.norm.EXT	0.104132544467226	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-686	I	2653235	.mean.norm.EXT	0.122482730868407	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-694	I	2751594	.mean.norm.EXT	0.0309486711623745	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-746	I	2837731	.mean.norm.EXT	0.00715732820837244	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-152	I	2852466	.mean.norm.EXT	0.0148774398602282	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-110	I	2949030	.mean.norm.EXT	0.0292828116146401	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-131	I	3100226	.mean.norm.EXT	0.289239667242681	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-2	I	3123825	.mean.norm.EXT	0.363318998226091	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-132	I	3180958	.mean.norm.EXT	0.500469717607919	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-762	I	3260998	.mean.norm.EXT	1.32504571935338	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-161	I	3273271	.mean.norm.EXT	1.32504571935338	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-133	I	3368660	.mean.norm.EXT	1.6506423937102	3.01329865066461	1	NA	NA	NA	NA	NA	NA
