snps	position	window	Td	swindow	ewindow	midwindow
1	7430271	1	-1.2527080861572	7430271	7533499	7481885
11	7432048	2	-1.25650578778469	7432048	7535195	7483621.5
21	7433745	3	-1.21140608468946	7433745	7537580	7485662.5
31	7435101	4	-1.20383942770415	7435101	7539812	7487456.5
41	7436408	5	-1.20431853219879	7436408	7542072	7489240
51	7436892	6	-1.27824754975135	7436892	7543408	7490150
61	7442560	7	-1.28353366934219	7442560	7545026	7493793
71	7448976	8	-1.30551498355616	7448976	7546693	7497834.5
81	7449239	9	-1.29081925169064	7449239	7547992	7498615.5
91	7449662	10	-1.34797961193089	7449662	7548986	7499324
101	7456215	11	-1.41352110679733	7456215	7552560	7504387.5
111	7457247	12	-1.41969516671822	7457247	7554028	7505637.5
121	7459071	13	-1.39393212102657	7459071	7556314	7507692.5
131	7461667	14	-1.40626427071855	7461667	7558748	7510207.5
141	7463527	15	-1.40811361406785	7463527	7559885	7511706
151	7465295	16	-1.41717507707643	7465295	7561137	7513216
161	7467177	17	-1.41044206191179	7467177	7562068	7514622.5
171	7468478	18	-1.41250540526869	7468478	7563638	7516058
181	7470506	19	-1.43634883895183	7470506	7564402	7517454
191	7472293	20	-1.48004636289275	7472293	7565857	7519075
201	7474584	21	-1.50505561751284	7474584	7568431	7521507.5
211	7476830	22	-1.49085815432174	7476830	7570791	7523810.5
221	7479229	23	-1.51920197622451	7479229	7575374	7527301.5
231	7481699	24	-1.5215080658587	7481699	7576941	7529320
241	7484270	25	-1.51314928944225	7484270	7580864	7532567
251	7486353	26	-1.52267388679565	7486353	7583788	7535070.5
261	7487863	27	-1.48738304972064	7487863	7585088	7536475.5
271	7490212	28	-1.4959015276353	7490212	7589462	7539837
281	7490822	29	-1.48822946766116	7490822	7592461	7541641.5
291	7492697	30	-1.46503442206077	7492697	7594050	7543373.5
301	7494876	31	-1.47366469102418	7494876	7595845	7545360.5
311	7495758	32	-1.46204161598427	7495758	7597046	7546402
321	7497981	33	-1.44304033172694	7497981	7599098	7548539.5
331	7499907	34	-1.43859104798673	7499907	7601255	7550581
341	7500756	35	-1.44137624211556	7500756	7603381	7552068.5
351	7504659	36	-1.44294131679804	7504659	7606329	7555494
361	7505599	37	-1.43734537630068	7505599	7608665	7557132
371	7507283	38	-1.40567976323509	7507283	7609903	7558593
381	7508851	39	-1.37836122495085	7508851	7611252	7560051.5
391	7509643	40	-1.38850227008734	7509643	7613076	7561359.5
401	7511219	41	-1.42749818192089	7511219	7615153	7563186
411	7512464	42	-1.36036925416222	7512464	7616424	7564444
421	7514306	43	-1.34621011933069	7514306	7618779	7566542.5
431	7516625	44	-1.34283722368844	7516625	7622027	7569326
441	7520829	45	-1.33922477579887	7520829	7622856	7571842.5
451	7523317	46	-1.33884788026309	7523317	7624364	7573840.5
461	7525326	47	-1.32277552148298	7525326	7627411	7576368.5
471	7528567	48	-1.33035176055818	7528567	7632368	7580467.5
481	7529790	49	-1.31982104376605	7529790	7633511	7581650.5
491	7531663	50	-1.29640561009812	7531663	7634820	7583241.5
501	7533731	51	-1.25518984743942	7533731	7636293	7585012
511	7535221	52	-1.24164716039099	7535221	7638119	7586670
521	7537764	53	-1.27826671393114	7537764	7639519	7588641.5
531	7540152	54	-1.27768859450761	7540152	7642209	7591180.5
541	7542079	55	-1.29498746079399	7542079	7643365	7592722
551	7543556	56	-1.26956937033848	7543556	7644866	7594211
561	7545226	57	-1.27815172885242	7545226	7645766	7595496
571	7546791	58	-1.27059145992704	7546791	7648164	7597477.5
581	7548033	59	-1.26244348948824	7548033	7649328	7598680.5
591	7549426	60	-1.23635145871027	7549426	7651254	7600340
