snps,position,window,Td,swindow,ewindow,midwindow
1,11021094,1,-0.927795069011184,11021094,11069506,11045300
101,11037561,2,-1.35313396641803,11037561,11081818,11059689.5
201,11054521,3,-1.43449647269692,11054521,11097916,11076218.5
301,11069625,4,-1.75256241764472,11069625,11118284,11093954.5
401,11081878,5,-1.52852042683341,11081878,11135961,11108919.5
501,11098467,6,-1.57301546474769,11098467,11152917,11125692
601,11118374,7,-1.13401998896602,11118374,11163563,11140968.5
701,11136014,8,-0.78554963076821,11136014,11175061,11155537.5
801,11152941,9,-0.512799177086674,11152941,11187057,11169999
901,11163681,10,-0.522665790300119,11163681,11201934,11182807.5
1001,11175240,11,-0.555531563606062,11175240,11213826,11194533
1101,11187205,12,-0.611280045560998,11187205,11233264,11210234.5
1201,11201936,13,-0.756299145458395,11201936,11252152,11227044
1301,11214072,14,-0.762486951706526,11214072,11267487,11240779.5
1401,11233369,15,-0.837894554624303,11233369,11282611,11257990
1501,11252490,16,-0.497316428347765,11252490,11296619,11274554.5
1601,11267598,17,-0.266679051236061,11267598,11307787,11287692.5
1701,11282965,18,-0.00358877411811722,11282965,11320928,11301946.5
1801,11296687,19,-0.129382799342106,11296687,11333806,11315246.5
1901,11308122,20,-0.378784738600625,11308122,11348150,11328136
2001,11321037,21,-0.458982730444457,11321037,11363058,11342047.5
2101,11333980,22,-0.856606184296796,11333980,11378660,11356320
2201,11348794,23,-1.00868118302119,11348794,11395384,11372089
2301,11363072,24,-1.58461826311887,11363072,11399276,11381174
2401,11378738,25,-1.27523324395973,11378738,11406480,11392609
2501,11395414,26,-1.42990193392586,11395414,11413556,11404485
2601,11399290,27,-1.03790520209384,11399290,11425906,11412598
2701,11406618,28,-1.27227961189262,11406618,11440889,11423753.5
2801,11413561,29,-1.28997493805814,11413561,11458321,11435941
2901,11425917,30,-1.40054029041997,11425917,11470155,11448036
3001,11442717,31,-1.21677461931956,11442717,11485251,11463984
3101,11458543,32,-1.17650888610353,11458543,11499919,11479231
3201,11470269,33,-1.02247009258182,11470269,11513847,11492058
3301,11485386,34,-1.10054549220538,11485386,11523390,11504388
3401,11500139,35,-0.743981758683885,11500139,11539534,11519836.5
3501,11514047,36,-0.701455808814349,11514047,11556459,11535253
3601,11523637,37,-0.376148701379436,11523637,11569680,11546658.5
3701,11539558,38,-0.387084550574166,11539558,11584354,11561956
3801,11556569,39,-0.168362273432132,11556569,11596839,11576704
3901,11569849,40,-0.236205825769429,11569849,11605548,11587698.5
4001,11584487,41,-0.126783814852942,11584487,11617078,11600782.5
4101,11596880,42,-0.491282126275165,11596880,11629607,11613243.5
4201,11605649,43,-0.766308676352507,11605649,11641005,11623327
4301,11617119,44,-0.99078471345324,11617119,11651494,11634306.5
4401,11629690,45,-1.02713873681694,11629690,11666281,11647985.5
4501,11641091,46,-1.09119761724028,11641091,11684096,11662593.5
4601,11651782,47,-1.05217050392337,11651782,11699435,11675608.5
4701,11666282,48,-0.834353372092224,11666282,11709605,11687943.5
4801,11684229,49,-0.67480960124113,11684229,11720114,11702171.5
4901,11699888,50,-0.625831182751857,11699888,11730577,11715232.5
5001,11709612,51,-0.395950740022943,11709612,11740979,11725295.5
5101,11720142,52,-0.239932271961631,11720142,11754373,11737257.5
5201,11730642,53,-0.0872009105556569,11730642,11769652,11750147
5301,11741529,54,-0.275884008520492,11741529,11784287,11762908
5401,11754532,55,0.0971205515251239,11754532,11795779,11775155.5
5501,11769653,56,0.445241555392412,11769653,11804708,11787180.5
5601,11784307,57,1.02382525920614,11784307,11808839,11796573
5701,11795860,58,1.16327056955753,11795860,11813724,11804792
5801,11804743,59,1.04103889985535,11804743,11825163,11814953
5901,11808993,60,0.935560358275784,11808993,11835730,11822361.5
6001,11814185,61,0.593119008903145,11814185,11849990,11832087.5
6101,11825566,62,0.353022598630268,11825566,11860006,11842786
6201,11836085,63,0.0705325696736573,11836085,11873894,11854989.5
6301,11850467,64,0.322941073473612,11850467,11885789,11868128
6401,11860100,65,0.409633879916637,11860100,11896373,11878236.5
6501,11873954,66,0.455611027111907,11873954,11905946,11889950
6601,11886146,67,-0.0512280010070673,11886146,11919498,11902822
6701,11896439,68,-0.2275619527128,11896439,11928596,11912517.5
6801,11906209,69,-0.567123775482374,11906209,11937290,11921749.5
6901,11919647,70,-0.394595668680324,11919647,11943078,11931362.5
7001,11928748,71,-0.704785261449144,11928748,11950564,11939656
7101,11937320,72,-0.376741545091832,11937320,11961076,11949198
7201,11943150,73,-0.563789029600147,11943150,11970593,11956871.5
7301,11950727,74,-0.0796315667277459,11950727,11978602,11964664.5
7401,11961090,75,0.686142539274969,11961090,11983783,11972436.5
7501,11970932,76,0.891425261186888,11970932,11989515,11980223.5
7601,11978680,77,0.736539548076046,11978680,11996704,11987692
7701,11983926,78,-0.096734049180879,11983926,12004607,11994266.5
8001,12004683,NA,NA,12004683,12008179,12006431
